time,quite,jail,active
0,1120,0,0
1,667,14,439
2,627,27,466
3,626,43,451
4,628,57,435
5,627,72,421
6,626,88,406
7,627,102,391
8,632,112,376
9,631,123,366
10,637,128,355
11,628,141,351
12,636,147,337
13,631,157,332
14,634,165,321
15,637,170,313
16,635,177,308
17,629,190,301
18,638,193,289
19,634,201,285
20,635,208,277
21,633,217,270
22,636,223,261
23,639,226,255
24,634,234,252
25,641,234,245
26,645,231,244
27,642,230,248
28,638,233,249
29,646,228,246
30,645,225,250
31,642,225,253
32,644,223,253
33,640,224,256
34,648,218,254
35,642,218,260
36,635,225,260
37,641,226,253
38,639,229,252
39,646,225,249
40,642,225,253
41,636,231,253
42,642,231,247
43,635,238,247
44,640,240,240
45,639,243,238
46,642,243,235
47,645,240,235
48,644,238,238
49,639,240,241
50,642,240,238
51,640,242,238
52,651,232,237
53,644,229,247
54,649,222,249
55,637,226,257
56,648,219,253
57,640,220,260
58,637,225,258
59,634,233,253
60,648,227,245
61,636,233,251
62,639,236,245
63,647,231,242
64,645,228,247
65,643,227,250
66,638,231,251
67,641,232,247
68,647,227,246
69,636,233,251
70,643,232,245
71,646,228,246
72,636,234,250
73,647,229,244
74,643,227,250
75,641,227,252
76,646,223,251
77,640,224,256
78,648,218,254
79,641,219,260
80,643,218,259
81,639,220,261
82,648,213,259
83,644,210,266
84,642,210,268
85,634,217,269
86,644,214,262
87,653,203,264
88,635,210,275
89,641,211,268
90,643,209,268
91,638,212,270
92,641,213,266
93,637,218,265
94,642,218,260
95,645,215,260
96,637,220,263
97,642,220,258
98,639,223,258
99,640,225,255
100,646,220,254
101,644,218,258
102,640,220,260
103,638,221,261
104,649,213,258
105,640,215,265
106,655,201,264
107,635,207,278
108,633,216,271
109,640,217,263
110,648,211,261
111,641,212,267
112,641,213,266
113,634,221,265
114,646,217,257
115,638,221,261
116,640,223,257
117,637,228,255
118,644,225,251
119,647,220,253
120,642,220,258
121,639,223,258
122,645,220,255
123,645,217,258
124,646,213,261
125,636,219,265
126,639,222,259
127,647,216,257
128,643,215,262
129,644,212,264
130,641,211,268
131,645,207,268
132,636,212,272
133,648,205,267
134,646,200,274
135,641,201,278
136,642,199,279
137,636,205,279
138,645,202,273
139,639,205,276
140,645,202,273
141,641,203,276
142,648,197,275
143,636,203,281
144,637,208,275
145,645,205,270
146,632,215,273
147,639,218,263
148,640,219,261
149,639,220,261
150,636,225,259
151,639,228,253
152,644,225,251
153,646,221,253
154,636,227,257
155,648,221,251
156,644,219,257
157,639,221,260
158,643,219,258
159,643,218,259
160,640,220,260
161,639,223,258
162,647,217,256
163,637,222,261
164,644,220,256
165,647,214,259
166,643,212,265
167,642,212,266
168,645,208,267
169,636,214,270
170,640,215,265
171,641,216,263
172,643,213,264
173,640,215,265
174,643,214,263
175,646,209,265
176,641,210,269
177,644,208,268
178,636,214,270
179,639,217,264
180,642,217,261
181,644,215,261
182,639,217,264
183,637,222,261
184,638,226,256
185,638,230,252
186,643,229,248
187,640,231,249
188,637,236,247
189,640,238,242
190,637,243,240
191,643,242,235
192,650,232,238
193,642,232,246
194,638,236,246
195,647,230,243
196,642,230,248
197,644,227,249
198,639,230,251
199,638,234,248
200,647,228,245
201,640,230,250
202,647,225,248
203,644,223,253
204,641,223,256
205,640,225,255
206,650,217,253
207,644,215,261
208,634,222,264
209,639,225,256
210,645,222,253
211,644,220,256
212,640,222,258
213,644,220,256
214,649,213,258
215,640,214,266
216,641,214,265
217,637,219,264
218,639,222,259
219,640,224,256
220,641,225,254
221,640,227,253
222,645,224,251
223,643,223,254
224,644,221,255
225,641,221,258
226,641,222,257
227,637,227,256
228,643,226,251
229,637,230,253
230,645,227,248
231,641,228,251
232,638,232,250
233,641,232,247
234,644,230,246
235,641,230,249
236,641,231,248
237,638,235,247
238,645,232,243
239,644,230,246
240,633,239,248
241,640,241,239
242,636,247,237
243,648,241,231
244,642,241,237
245,642,241,237
246,644,239,237
247,644,237,239
248,649,230,241
249,641,231,248
250,641,232,247
251,646,226,248
252,648,218,254
253,635,225,260
254,645,222,253
255,644,220,256
256,640,222,258
257,638,226,256
258,637,231,252
259,651,221,248
260,633,230,257
261,641,231,248
262,636,237,247
263,645,234,241
264,645,231,244
265,649,223,248
266,648,217,255
267,638,221,261
268,641,222,257
269,638,225,257
270,640,227,253
271,639,230,251
272,645,227,248
273,647,222,251
274,646,218,256
275,646,213,261
276,633,222,265
277,644,220,256
278,645,217,258
279,642,216,262
280,641,215,264
281,642,215,263
282,636,221,263
283,644,219,257
284,640,221,259
285,638,225,257
286,634,232,254
287,641,232,247
288,635,239,246
289,637,244,239
290,642,244,234
291,643,243,234
292,635,250,235
293,640,252,228
294,645,249,226
295,646,245,229
296,636,251,233
297,646,247,227
298,644,245,231
299,647,240,233
300,646,235,239
301,642,235,243
302,648,229,243
303,641,230,249
304,633,239,248
305,638,243,239
306,645,240,235
307,642,240,238
308,645,237,238
309,643,236,241
310,647,231,242
311,640,233,247
312,643,231,246
313,642,231,247
314,645,228,247
315,646,224,250
316,640,226,254
317,651,217,252
318,644,215,261
319,639,218,263
320,645,215,260
321,637,219,264
322,640,221,259
323,635,227,258
324,642,227,251
325,635,233,252
326,642,233,245
327,649,226,245
328,646,222,252
329,641,223,256
330,636,229,255
331,639,231,250
332,644,229,247
333,641,230,249
334,643,229,248
335,644,227,249
336,643,226,251
337,638,229,253
338,640,231,249
