time,quite,jail,active
0,1120,0,0
1,964,13,143
2,638,48,434
3,607,80,433
4,610,108,402
5,613,132,375
6,609,163,348
7,615,182,323
8,613,214,293
9,615,241,264
10,617,266,237
11,620,286,214
12,622,302,196
13,626,327,167
14,637,338,145
15,625,359,136
16,629,370,121
17,637,387,96
18,645,406,69
19,674,406,40
20,697,412,11
21,716,404,0
22,743,377,0
23,762,358,0
24,775,344,1
25,805,315,0
26,820,300,0
27,833,287,0
28,854,266,0
29,875,244,1
30,898,222,0
31,925,195,0
32,942,177,1
33,963,157,0
34,988,132,0
35,1000,119,1
36,1012,108,0
37,1028,92,0
38,1013,80,27
39,894,89,137
40,695,106,319
41,617,131,372
42,618,155,347
43,613,181,326
44,618,204,298
45,613,225,282
46,621,244,255
47,624,263,233
48,624,277,219
49,619,296,205
50,614,314,192
51,623,339,158
52,626,364,130
53,639,380,101
54,647,390,83
55,670,396,54
56,680,399,41
57,716,398,6
58,726,385,9
59,752,368,0
60,777,343,0
61,800,320,0
62,805,315,0
63,819,301,0
64,833,285,2
65,859,261,0
66,884,236,0
67,903,217,0
68,915,202,3
69,907,192,21
70,869,184,67
71,788,194,138
72,680,202,238
73,634,208,278
74,620,224,276
75,624,240,256
76,620,257,243
77,639,256,225
78,628,259,233
79,627,270,223
80,629,282,209
81,625,299,196
82,627,313,180
83,624,334,162
84,631,343,146
85,628,360,132
86,633,375,112
87,638,395,87
88,662,406,52
89,678,414,28
90,692,415,13
91,716,403,1
92,733,387,0
93,746,368,6
94,764,349,7
95,778,331,11
96,784,318,18
97,820,300,0
98,844,275,1
99,867,253,0
100,894,226,0
101,912,208,0
102,938,181,1
103,951,169,0
104,962,158,0
105,973,146,1
106,990,130,0
107,1004,116,0
108,1014,106,0
109,1026,94,0
110,1031,89,0
111,1043,77,0
112,1051,69,0
113,1012,60,48
114,864,72,184
115,662,92,366
116,618,107,395
117,614,130,376
118,619,153,348
119,614,173,333
120,615,203,302
121,622,216,282
122,614,239,267
123,620,262,238
124,622,274,224
