time,quite,jail,active
0,1120,0,0
1,1078,15,27
2,866,62,192
3,647,124,349
4,633,181,306
5,631,241,248
6,641,289,190
7,642,339,139
8,647,392,81
9,681,429,10
10,702,418,0
11,718,401,1
12,733,387,0
13,753,367,0
14,766,354,0
15,787,333,0
16,802,318,0
17,826,293,1
18,831,288,1
19,853,266,1
20,871,249,0
21,874,238,8
22,881,239,0
23,897,223,0
24,912,208,0
25,930,189,1
26,942,173,5
27,895,166,59
28,787,192,141
29,683,226,211
30,654,264,202
31,656,300,164
32,672,329,119
33,692,356,72
34,714,381,25
35,743,377,0
36,754,365,1
37,773,347,0
38,790,330,0
39,806,314,0
40,821,297,2
41,833,287,0
42,850,270,0
43,858,261,1
44,877,243,0
45,887,228,5
46,861,226,33
47,837,236,47
48,790,264,66
49,755,288,77
50,721,314,85
51,712,335,73
52,708,361,51
53,707,378,35
54,727,386,7
55,766,353,1
56,783,336,1
57,811,309,0
58,831,288,1
59,839,279,2
60,858,262,0
61,883,237,0
62,897,223,0
63,909,211,0
64,920,200,0
65,913,198,9
66,928,192,0
67,932,182,6
68,928,185,7
69,944,176,0
70,956,162,2
71,960,157,3
72,975,145,0
73,988,132,0
74,1005,115,0
75,1022,98,0
76,1031,89,0
77,1044,76,0
78,1050,69,1
79,1060,60,0
80,1065,55,0
81,1067,53,0
82,1072,48,0
83,1043,52,25
84,940,81,99
85,679,133,308
86,638,184,298
87,639,233,248
88,638,286,196
89,647,332,141
90,674,370,76
91,700,393,27
92,721,396,3
93,741,379,0
94,753,366,1
95,770,349,1
96,786,334,0
97,793,325,2
98,816,304,0
99,837,282,1
100,833,271,16
101,836,265,19
102,828,268,24
103,838,266,16
104,860,259,1
105,880,240,0
106,900,219,1
107,915,205,0
108,936,184,0
109,953,166,1
110,976,144,0
111,988,132,0
112,1000,119,1
113,1014,105,1
114,1026,92,2
115,1035,85,0
116,1052,67,1
117,1056,64,0
118,1061,59,0
119,1066,54,0
120,1071,49,0
121,1073,47,0
122,1078,42,0
123,1081,39,0
124,1080,39,1
125,1082,38,0
126,1086,34,0
127,1086,34,0
128,1086,34,0
129,1089,31,0
130,1092,28,0
131,1095,25,0
132,1096,24,0
133,1082,23,15
134,892,54,174
135,669,110,341
136,631,167,322
137,635,220,265
138,640,271,209
139,641,321,158
140,656,365,99
141,682,405,33
142,703,414,3
143,723,397,0
144,742,377,1
145,756,364,0
146,778,342,0
147,794,326,0
148,817,303,0
149,827,292,1
150,842,278,0
151,858,262,0
152,871,249,0
153,889,230,1
154,900,215,5
155,913,207,0
156,926,194,0
157,945,174,1
158,959,161,0
159,972,148,0
160,984,136,0
161,1007,113,0
162,1032,88,0
163,1044,75,1
164,1058,62,0
165,1068,52,0
166,1079,41,0
167,1088,31,1
168,1038,36,46
169,817,78,225
170,631,137,352
171,639,189,292
172,635,244,241
173,635,300,185
174,646,350,124
175,669,388,63
176,692,413,15
177,717,403,0
178,732,388,0
179,753,366,1
180,768,352,0
181,782,337,1
182,801,319,0
183,795,311,14
184,803,311,6
185,823,297,0
186,839,281,0
187,857,263,0
188,875,245,0
189,884,236,0
190,904,216,0
191,926,194,0
192,937,183,0
193,959,161,0
194,976,144,0
195,995,125,0
196,1007,112,1
197,1023,97,0
198,1038,82,0
199,1051,69,0
200,1066,54,0
201,1073,47,0
202,1084,36,0
203,1087,33,0
204,1091,29,0
205,1090,30,0
206,1092,28,0
207,1070,34,16
208,915,64,141
209,656,120,344
210,632,177,311
211,640,228,252
212,639,279,202
213,641,329,150
214,649,377,94
215,658,419,43
216,682,437,1
217,693,426,1
218,715,404,1
219,732,388,0
220,751,369,0
221,770,350,0
222,784,336,0
223,803,317,0
224,817,301,2
225,840,280,0
226,859,261,0
227,876,244,0
228,895,225,0
229,913,207,0
230,932,188,0
231,954,166,0
232,969,151,0
233,995,125,0
234,1005,114,1
235,1017,98,5
236,968,101,51
237,836,131,153
238,679,173,268
239,642,225,253
240,653,267,200
241,661,306,153
242,657,352,111
243,676,391,53
244,709,400,11
245,724,396,0
246,740,380,0
247,754,365,1
248,772,346,2
249,792,328,0
250,809,311,0
251,824,295,1
252,839,280,1
253,858,262,0
254,865,254,1
255,877,243,0
256,898,222,0
257,916,204,0
258,940,180,0
259,939,169,12
260,919,169,32
261,882,183,55
262,798,212,110
263,693,260,167
264,672,297,151
265,666,337,117
266,665,371,84
267,691,388,41
268,721,397,2
269,739,380,1
270,758,362,0
271,769,351,0
272,790,330,0
273,798,322,0
274,802,318,0
275,817,302,1
276,832,287,1
277,846,274,0
278,866,254,0
279,883,237,0
280,900,220,0
281,918,202,0
282,922,189,9
283,911,192,17
284,918,195,7
285,934,185,1
286,949,171,0
287,970,150,0
288,986,134,0
289,1001,118,1
290,1018,101,1
291,1031,89,0
292,1044,76,0
293,1059,61,0
294,1046,64,10
295,987,79,54
296,800,121,199
297,633,181,306
298,639,232,249
299,643,284,193
300,651,328,141
301,670,362,88
302,694,390,36
303,713,403,4
304,737,383,0
305,746,372,2
306,766,354,0
307,780,340,0
308,803,317,0
309,818,302,0
310,829,291,0
311,843,277,0
312,864,256,0
313,876,244,0
314,880,239,1
315,901,219,0
316,916,203,1
317,930,190,0
318,943,177,0
319,961,159,0
320,977,143,0
321,990,130,0
322,1009,111,0
323,1022,98,0
324,957,102,61
325,845,129,146
326,690,164,266
327,640,214,266
328,646,259,215
329,651,299,170
330,652,343,125
331,669,383,68
332,698,411,11
333,716,402,2
334,736,384,0
335,754,365,1
336,775,345,0
337,795,321,4
338,805,315,0
339,806,305,9
340,792,306,22
341,814,302,4
342,829,289,2
343,849,271,0
344,858,262,0
345,880,239,1
346,891,228,1
347,904,216,0
348,916,203,1
349,936,184,0
350,957,163,0
351,969,151,0
352,989,131,0
353,1011,107,2
354,981,101,38
355,913,123,84
356,780,163,177
357,651,213,256
358,651,253,216
359,649,298,173
360,660,341,119
361,672,380,68
362,696,401,23
363,727,393,0
364,738,382,0
365,760,360,0
366,779,341,0
367,800,320,0
368,809,311,0
369,828,292,0
370,842,278,0
371,854,266,0
372,873,246,1
373,868,237,15
374,885,235,0
375,899,220,1
376,904,207,9
377,889,210,21
378,889,213,18
379,900,209,11
380,880,209,31
381,842,225,53
382,784,257,79
383,766,286,68
384,711,312,97
385,711,326,83
386,722,349,49
387,745,360,15
388,764,355,1
389,764,341,15
390,779,334,7
391,804,316,0
392,813,304,3
393,823,296,1
394,842,278,0
395,858,262,0
396,869,251,0
397,890,230,0
398,900,220,0
399,912,208,0
400,928,192,0
401,939,181,0
402,958,162,0
403,974,146,0
404,986,134,0
405,999,121,0
406,1007,113,0
407,1020,100,0
408,1031,89,0
409,1046,74,0
410,1058,62,0
411,1066,54,0
412,1077,43,0
413,1085,34,1
414,1090,30,0
415,1093,27,0
416,1093,26,1
417,1095,24,1
418,1091,27,2
419,1062,32,26
420,909,70,141
421,673,125,322
422,636,179,305
423,638,232,250
424,644,280,196
425,649,327,144
426,648,378,94
427,657,422,41
428,687,428,5
429,699,420,1
430,706,413,1
431,724,396,0
432,742,378,0
433,765,355,0
434,781,338,1
435,800,320,0
436,806,312,2
437,818,302,0
438,845,275,0
439,858,259,3
440,828,256,36
441,831,269,20
442,854,265,1
443,887,232,1
444,905,215,0
445,930,190,0
446,952,167,1
447,965,155,0
448,991,129,0
449,1008,109,3
450,948,113,59
451,807,142,171
452,644,194,282
453,642,242,236
454,645,290,185
455,652,335,133
456,658,380,82
457,672,416,32
458,694,425,1
459,711,409,0
460,728,392,0
461,750,370,0
462,761,359,0
463,781,339,0
464,797,322,1
465,820,300,0
466,833,286,1
467,846,274,0
468,870,250,0
469,886,234,0
470,902,216,2
471,914,202,4
472,927,193,0
473,945,175,0
474,958,161,1
475,981,139,0
476,992,128,0
477,1005,115,0
478,1024,96,0
479,1035,85,0
480,1006,75,39
481,893,95,132
482,686,136,298
483,641,187,292
484,639,239,242
485,651,281,188
486,652,324,144
487,649,376,95
488,676,415,29
489,689,429,2
490,703,415,2
491,730,390,0
492,743,377,0
493,754,366,0
494,776,344,0
495,792,327,1
496,812,308,0
497,825,295,0
498,840,280,0
499,861,259,0
500,854,255,11
501,851,261,8
502,858,255,7
503,880,239,1
504,897,222,1
505,922,198,0
506,936,184,0
507,954,166,0
508,972,148,0
509,985,135,0
510,1004,116,0
511,1032,87,1
512,1022,79,19
513,935,101,84
514,766,142,212
515,647,189,284
516,645,235,240
517,637,286,197
518,656,326,138
519,661,372,87
520,682,407,31
521,700,417,3
522,721,399,0
523,738,382,0
524,748,370,2
525,771,349,0
526,787,333,0
527,800,320,0
528,814,306,0
529,837,283,0
530,852,268,0
531,870,250,0
532,881,238,1
533,893,227,0
534,914,206,0
535,931,188,1
536,950,170,0
537,963,157,0
538,974,146,0
539,990,130,0
540,1005,115,0
541,1020,100,0
542,1037,83,0
543,1056,64,0
544,1072,48,0
545,1035,39,46
546,886,72,162
547,664,125,331
548,633,181,306
549,641,228,251
550,640,280,200
551,645,331,144
552,658,371,91
553,673,413,34
554,690,430,0
555,704,416,0
556,720,400,0
557,731,389,0
558,740,378,2
559,755,365,0
560,776,343,1
561,794,326,0
562,810,310,0
563,826,294,0
564,840,280,0
565,855,265,0
566,875,245,0
567,892,228,0
568,922,197,1
569,935,184,1
570,961,159,0
571,979,141,0
572,987,133,0
573,1003,117,0
574,1019,101,0
575,1039,81,0
576,1031,69,20
577,979,87,54
578,864,125,131
579,674,166,280
580,651,215,254
581,643,267,210
582,647,317,156
583,658,362,100
584,679,395,46
585,707,400,13
586,721,399,0
587,738,382,0
588,754,366,0
589,760,355,5
590,776,344,0
591,796,324,0
592,821,299,0
593,837,283,0
594,853,267,0
595,863,257,0
596,883,236,1
597,880,229,11
598,875,224,21
599,891,218,11
600,895,211,14
601,817,217,86
602,740,249,131
