time,quite,jail,active
0,1120,0,0
1,665,13,442
2,622,28,470
3,621,44,455
4,624,57,439
5,625,67,428
6,625,79,416
7,621,94,405
8,625,106,389
9,623,120,377
10,628,128,364
11,624,141,355
12,629,149,342
13,628,158,334
14,629,166,325
15,636,166,318
16,635,168,317
17,634,171,315
18,633,175,312
19,629,183,308
20,628,192,300
21,631,198,291
22,626,209,285
23,633,213,274
24,638,212,270
25,640,209,271
26,638,207,275
27,636,208,276
28,639,206,275
29,639,203,278
30,635,205,280
31,646,195,279
32,638,194,288
33,639,192,289
34,638,191,291
35,635,193,292
36,637,193,290
37,636,194,290
38,632,199,289
39,637,199,284
40,635,200,285
41,638,198,284
42,637,198,285
43,634,201,285
44,635,202,283
45,640,199,281
46,636,200,284
47,636,201,283
48,629,209,282
49,633,212,275
50,634,215,271
51,633,218,269
52,638,216,266
53,629,223,268
54,635,225,260
55,643,219,258
56,636,220,264
57,633,224,263
58,635,226,259
59,632,231,257
60,638,230,252
61,637,230,253
62,645,222,253
63,636,223,261
64,638,222,260
65,638,221,261
66,639,219,262
67,635,221,264
68,631,227,262
69,639,225,256
70,636,226,258
71,644,219,257
72,643,212,265
73,634,215,271
74,641,211,268
75,630,218,272
76,634,221,265
77,633,225,262
78,637,225,258
79,637,225,258
80,634,228,258
81,632,232,256
82,642,227,251
83,636,228,256
84,644,221,255
85,638,219,263
86,632,224,264
87,633,228,259
88,637,228,255
89,628,237,255
90,632,242,246
91,634,244,242
92,633,247,240
93,636,248,236
94,638,245,237
95,640,242,238
96,638,241,241
97,634,243,243
98,644,236,240
99,645,228,247
100,635,230,255
101,633,234,253
102,640,231,249
103,637,231,252
104,640,227,253
105,631,232,257
106,642,227,251
107,642,221,257
108,638,220,262
109,636,220,264
110,633,223,264
111,632,228,260
112,639,226,255
113,638,224,258
114,638,223,259
115,636,224,260
116,644,217,259
117,638,216,266
118,635,218,267
119,638,217,265
120,635,219,266
121,633,223,264
122,634,226,260
123,635,228,257
124,644,221,255
125,633,224,263
126,637,224,259
127,634,227,259
128,634,230,256
129,640,227,253
130,639,225,256
131,634,228,258
132,637,227,256
133,637,227,256
134,641,223,256
135,636,224,260
136,636,224,260
137,637,223,260
138,638,222,260
139,633,226,261
140,638,224,258
141,640,220,260
142,637,220,263
143,635,221,264
144,643,215,262
145,637,215,268
146,639,213,268
147,635,215,270
148,638,213,269
149,635,215,270
150,635,217,268
151,640,214,266
152,630,221,269
153,638,220,262
154,643,213,264
155,638,211,271
156,636,212,272
157,634,215,271
158,631,220,269
159,631,226,263
160,640,223,257
161,639,221,260
162,636,222,262
163,640,219,261
164,641,215,264
165,634,218,268
166,637,217,266
167,636,217,267
168,630,224,266
169,635,226,259
170,640,223,257
171,634,226,260
172,638,225,257
173,633,229,258
174,636,230,254
175,641,225,254
176,643,218,259
177,641,214,265
178,634,217,269
179,636,217,267
180,636,218,266
181,642,212,266
182,637,211,272
183,633,214,273
184,634,217,269
185,626,228,266
186,644,221,255
187,639,218,263
188,639,215,266
189,635,217,268
190,639,215,266
191,636,216,268
192,636,217,267
193,636,218,266
194,638,217,265
195,635,219,266
196,640,216,264
197,643,209,268
198,628,218,274
199,639,216,265
200,634,219,267
201,631,225,264
202,634,228,258
203,629,236,255
204,642,231,247
205,635,233,252
206,633,237,250
207,635,239,246
208,642,234,244
209,641,230,249
210,635,232,253
211,643,226,251
212,634,228,258
213,635,230,255
214,630,237,253
215,641,232,247
216,637,232,251
217,642,225,253
218,634,228,258
219,637,228,255
220,637,228,255
221,643,222,255
222,637,221,262
223,633,224,263
224,638,223,259
225,638,222,260
226,633,226,261
227,634,229,257
228,637,229,254
229,636,228,256
230,638,227,255
231,639,225,256
232,638,224,258
233,634,227,259
234,640,224,256
235,639,219,262
236,634,222,264
237,632,227,261
238,636,228,256
239,633,232,255
240,636,233,251
241,639,231,250
242,634,234,252
243,640,231,249
244,643,224,253
245,644,217,259
246,634,220,266
247,640,217,263
248,635,219,266
249,640,215,265
