time,quite,jail,active
0,1120,0,0
1,153,15,952
2,135,30,955
3,136,44,940
4,137,57,926
5,140,67,913
6,136,81,903
7,139,92,889
8,136,106,878
9,142,113,865
10,135,128,857
11,142,136,842
12,141,144,835
13,138,156,826
14,142,164,814
15,141,173,806
16,139,184,797
17,142,192,786
18,139,202,779
19,140,211,769
20,140,220,760
21,142,227,751
22,153,224,743
23,145,229,746
24,157,222,741
25,153,216,751
26,146,220,754
27,150,219,751
28,154,214,752
29,145,219,756
30,152,217,751
31,144,223,753
32,153,220,747
33,145,224,751
34,156,218,746
35,151,217,752
36,149,217,754
37,152,215,753
38,155,210,755
39,146,213,761
40,152,210,758
41,154,206,760
42,151,205,764
43,151,204,765
44,143,211,766
45,149,212,759
46,149,213,758
47,149,214,757
48,147,217,756
49,149,218,753
50,153,215,752
51,146,218,756
52,148,220,752
53,144,226,750
54,154,222,744
55,146,226,748
56,147,229,744
57,147,231,742
58,154,227,739
59,152,225,743
60,147,228,745
61,157,221,742
62,143,228,749
63,155,223,742
64,149,224,747
65,150,224,746
66,158,216,746
67,150,216,754
68,141,223,756
69,146,227,747
70,148,229,743
71,157,222,741
72,147,224,749
73,151,223,746
74,150,223,747
75,146,225,749
76,148,227,745
77,150,227,743
78,148,229,743
79,145,233,742
80,150,232,738
81,146,236,738
82,147,239,734
83,149,240,731
84,145,245,730
85,157,238,725
86,150,238,732
87,151,237,732
88,149,237,734
89,152,235,733
90,155,229,736
91,150,229,741
92,150,229,741
93,149,230,741
94,154,226,740
95,150,226,744
96,153,223,744
97,146,227,747
98,156,221,743
99,149,222,749
100,149,223,748
101,150,223,747
102,151,221,748
103,155,215,750
104,149,216,755
105,147,219,754
106,150,219,751
107,147,222,751
108,147,225,748
109,158,217,745
110,144,223,753
111,149,224,747
112,151,223,746
113,151,222,747
114,138,234,748
115,153,231,736
116,151,229,740
117,149,230,741
118,149,231,740
119,152,229,739
120,144,235,741
121,149,235,736
122,147,238,735
123,151,237,732
124,146,241,733
125,156,235,729
126,152,233,735
127,153,230,737
128,152,228,740
129,146,231,743
130,151,230,739
131,149,230,741
132,146,234,740
133,146,237,737
134,155,232,733
135,149,233,738
136,151,232,737
137,150,232,738
138,152,230,738
139,152,226,742
140,151,225,744
141,158,217,745
142,151,216,753
143,154,211,755
144,147,214,759
145,147,217,756
146,147,220,753
147,146,224,750
148,148,226,746
149,148,228,744
150,148,229,743
151,152,226,742
152,149,227,744
153,152,225,743
154,147,228,745
155,158,220,742
156,148,222,750
157,146,224,750
158,146,228,746
159,148,229,743
160,148,231,741
161,148,233,739
162,148,232,740
163,153,229,738
164,145,233,742
165,156,227,737
166,147,230,743
167,145,235,740
168,153,232,735
169,147,235,738
170,157,228,735
171,150,228,742
172,152,226,742
173,144,232,744
174,145,237,738
175,148,239,733
176,149,240,731
177,151,239,730
178,143,246,731
179,155,241,724
180,154,237,729
181,155,232,733
182,147,235,738
183,147,237,736
184,145,242,733
185,151,239,730
186,153,235,732
187,150,233,737
188,149,234,737
189,149,234,737
190,151,233,736
191,151,232,737
192,146,236,738
193,149,237,734
194,152,235,733
195,152,233,735
196,154,229,737
197,152,227,741
198,154,223,743
199,149,223,748
200,150,223,747
201,155,218,747
202,150,217,753
203,146,221,753
