time,quite,jail,active
0,1120,0,0
1,680,14,426
2,631,27,462
3,628,43,449
4,629,58,433
5,628,74,418
6,630,88,402
7,628,104,388
8,633,115,372
9,631,128,361
10,632,140,348
11,629,155,336
12,639,160,321
13,634,170,316
14,636,178,306
15,635,187,298
16,632,199,289
17,632,211,277
18,632,223,265
19,631,236,253
20,631,248,241
21,634,258,228
22,629,273,218
23,641,275,204
24,637,282,201
25,637,289,194
26,638,295,187
27,634,305,181
28,635,314,171
29,641,317,162
30,637,324,159
31,638,330,152
32,636,338,146
33,637,345,138
34,638,351,131
35,641,354,125
36,637,360,123
37,644,360,116
38,647,356,117
39,649,351,120
40,639,355,126
41,641,358,121
42,638,364,118
43,640,368,112
44,649,362,109
45,643,363,114
46,643,364,113
47,641,370,109
48,635,379,106
49,651,373,96
50,648,373,99
51,641,376,103
52,646,373,101
53,648,369,103
54,640,375,105
55,640,379,101
56,642,381,97
57,640,385,95
58,644,385,91
59,652,377,91
60,639,383,98
61,645,382,93
62,644,382,94
63,646,380,94
64,638,386,96
65,647,383,90
66,641,386,93
67,646,383,91
68,643,387,90
69,638,394,88
70,647,392,81
71,644,392,84
72,640,397,83
73,648,393,79
74,642,395,83
75,646,393,81
76,647,390,83
77,641,394,85
78,642,398,80
79,649,398,73
80,651,393,76
81,644,393,83
82,646,391,83
83,644,392,84
84,647,389,84
85,649,384,87
86,644,387,89
87,640,391,89
88,647,391,82
89,648,393,79
90,648,390,82
91,651,382,87
92,645,382,93
93,648,380,92
94,645,382,93
95,641,385,94
96,645,384,91
97,643,387,90
98,641,390,89
99,640,394,86
100,643,395,82
101,650,389,81
102,647,386,87
103,639,392,89
104,643,393,84
105,641,395,84
106,646,392,82
107,645,390,85
108,648,386,86
109,644,386,90
110,648,382,90
111,645,381,94
112,638,387,95
113,644,387,89
114,650,381,89
115,648,378,94
116,642,380,98
117,642,382,96
118,638,388,94
119,644,388,88
120,640,392,88
121,647,389,84
122,653,380,87
123,644,380,96
124,642,383,95
125,647,381,92
126,645,380,95
127,638,386,96
128,648,385,87
129,645,384,91
130,651,378,91
131,647,377,96
132,642,379,99
133,645,378,97
134,644,380,96
135,650,373,97
136,644,373,103
137,641,376,103
138,647,373,100
139,646,369,105
140,637,374,109
141,643,376,101
142,639,381,100
143,644,381,95
144,648,377,95
145,644,377,99
146,644,377,99
147,646,375,99
148,646,373,101
149,642,375,103
150,645,374,101
151,648,371,101
152,639,377,104
153,643,378,99
154,645,377,98
155,644,377,99
156,641,380,99
157,639,386,95
158,643,387,90
159,649,383,88
160,640,387,93
161,647,384,89
162,652,377,91
163,640,383,97
164,649,379,92
165,650,373,97
166,645,372,103
167,641,375,104
168,643,377,100
169,647,375,98
170,639,380,101
171,641,384,95
172,640,388,92
173,642,390,88
174,649,385,86
175,657,372,91
176,643,372,105
177,642,374,104
178,638,379,103
179,642,381,97
180,645,381,94
181,646,383,91
182,642,385,93
183,648,381,91
184,650,375,95
185,649,370,101
186,644,370,106
187,648,365,107
188,642,367,111
189,642,369,109
190,640,373,107
191,645,374,101
192,646,372,102
193,648,369,103
194,642,370,108
195,644,370,106
196,642,371,107
197,649,366,105
198,633,376,111
199,646,374,100
200,637,381,102
201,644,381,95
202,641,384,95
203,642,385,93
204,648,381,91
205,646,380,94
206,647,378,95
207,639,385,96
208,638,391,91
209,646,389,85
210,639,393,88
211,648,389,83
212,640,393,87
213,647,391,82
214,646,390,84
215,644,389,87
216,645,387,88
217,639,391,90
218,640,395,85
219,644,395,81
220,647,392,81
221,643,392,85
222,646,390,84
223,650,384,86
224,651,377,92
225,643,379,98
226,643,379,98
227,638,385,97
228,642,387,91
229,644,389,87
230,639,394,87
231,636,403,81
232,646,402,72
233,651,395,74
234,646,393,81
235,648,389,83
236,646,387,87
237,649,382,89
238,635,391,94
239,649,386,85
240,646,384,90
241,646,382,92
242,654,372,94
243,651,366,103
244,648,362,110
245,637,369,114
246,638,374,108
247,645,373,102
248,645,372,103
249,641,374,105
250,641,377,102
251,646,376,98
252,640,380,100
253,641,383,96
254,648,379,93
255,645,378,97
256,647,375,98
257,645,374,101
258,642,376,102
259,649,371,100
260,645,369,106
261,642,371,107
262,639,376,105
263,649,371,100
264,641,374,105
265,641,377,102
266,648,373,99
267,642,375,103
268,641,378,101
269,648,375,97
270,644,377,99
271,641,380,99
272,656,370,94
273,646,369,105
274,642,371,107
275,642,373,105
276,641,376,103
277,638,382,100
278,642,385,93
279,644,385,91
280,645,385,90
281,643,386,91
282,647,385,88
283,648,382,90
284,646,380,94
285,644,379,97
286,651,372,97
287,647,369,104
288,638,375,107
289,640,379,101
290,648,374,98
291,639,379,102
292,645,378,97
293,637,383,100
294,647,380,93
295,642,382,96
296,643,383,94
297,643,385,92
298,641,388,91
299,643,389,88
300,646,387,87
301,646,385,89
302,645,384,91
303,645,385,90
304,642,388,90
305,649,385,86
306,646,383,91
307,643,384,93
308,650,378,92
309,645,378,97
310,646,378,96
311,645,377,98
312,639,382,99
313,637,389,94
314,642,391,87
315,643,392,85
316,641,395,84
317,644,394,82
318,640,398,82
319,641,401,78
320,647,398,75
321,645,398,77
322,652,392,76
323,644,392,84
324,648,390,82
325,641,394,85
326,643,395,82
327,645,395,80
328,642,397,81
329,648,393,79
330,648,391,81
331,645,390,85
332,646,388,86
333,647,385,88
334,646,382,92
335,636,390,94
336,641,393,86
337,650,387,83
338,649,381,90
339,644,381,95
340,648,377,95
341,644,378,98
342,636,386,98
343,637,393,90
344,648,389,83
345,646,391,83
346,642,394,84
347,647,391,82
348,644,390,86
349,648,384,88
350,642,386,92
351,646,386,88
352,641,389,90
353,642,391,87
354,648,387,85
355,650,381,89
356,644,380,96
357,649,375,96
358,635,384,101
359,638,390,92
360,639,395,86
361,646,393,81
362,643,394,83
363,647,390,83
364,644,390,86
365,647,388,85
366,641,392,87
367,646,392,82
368,642,394,84
369,649,389,82
370,639,393,88
371,645,392,83
372,653,385,82
373,644,384,92
374,639,390,91
375,652,382,86
376,645,380,95
377,642,382,96
378,643,384,93
379,648,381,91
380,641,385,94
381,644,385,91
382,636,393,91
383,652,385,83
384,648,381,91
385,648,377,95
386,641,381,98
387,644,381,95
388,647,378,95
389,642,380,98
390,650,375,95
391,637,382,101
392,640,386,94
393,644,386,90
394,644,387,89
395,642,389,89
396,638,396,86
397,641,399,80
398,648,397,75
399,644,399,77
400,657,387,76
401,640,392,88
402,645,391,84
403,642,393,85
404,635,402,83
405,640,407,73
406,650,401,69
407,648,398,74
408,648,397,75
409,647,393,80
410,644,394,82
411,647,390,83
412,649,385,86
413,641,389,90
414,652,384,84
415,639,389,92
416,640,394,86
417,648,391,81
418,646,389,85
419,642,391,87
420,647,387,86
421,644,387,89
422,642,389,89
423,649,384,87
424,654,375,91
425,639,380,101
426,642,381,97
427,651,374,95
428,641,376,103
429,639,380,101
430,642,382,96
431,644,382,94
432,640,388,92
433,648,384,88
434,646,382,92
435,648,379,93
436,640,383,97
437,648,379,93
438,648,376,96
439,643,377,100
440,645,374,101
441,641,377,102
442,644,377,99
443,645,376,99
444,642,378,100
445,648,374,98
446,641,378,101
447,649,373,98
448,641,376,103
449,640,380,100
450,647,377,96
451,642,379,99
452,641,382,97
453,642,384,94
454,648,380,92
455,643,381,96
456,640,385,95
457,640,389,91
458,641,392,87
459,647,389,84
460,649,383,88
461,643,384,93
462,647,381,92
463,646,380,94
464,648,376,96
465,639,381,100
466,647,378,95
467,643,380,97
468,650,376,94
469,640,379,101
470,643,379,98
471,648,378,94
472,641,383,96
473,648,378,94
474,649,373,98
475,647,370,103
476,640,374,106
477,644,374,102
478,641,377,102
479,642,379,99
480,641,382,97
481,639,387,94
482,641,390,89
483,644,390,86
484,643,391,86
485,649,389,82
486,649,388,83
487,646,391,83
488,639,397,84
489,648,393,79
490,648,390,82
491,645,389,86
492,658,376,86
493,640,380,100
494,641,383,96
495,648,379,93
496,641,382,97
497,642,384,94
498,642,386,92
499,647,388,85
500,642,394,84
501,647,394,79
502,638,401,81
503,643,402,75
504,643,403,74
505,652,398,70
506,645,400,75
507,650,394,76
508,648,390,82
509,638,396,86
510,641,399,80
511,645,398,77
512,648,394,78
513,641,397,82
514,642,399,79
515,644,399,77
516,646,397,77
517,643,397,80
518,639,402,79
519,646,402,72
520,644,404,72
521,649,399,72
522,645,401,74
523,635,410,75
524,644,410,66
525,646,410,64
526,644,409,67
527,642,410,68
528,651,407,62
529,650,403,67
530,646,405,69
531,644,407,69
532,642,409,69
533,647,407,66
534,645,407,68
535,647,409,64
536,651,405,64
537,657,393,70
538,642,395,83
539,644,395,81
540,640,400,80
541,640,405,75
542,648,401,71
543,647,398,75
544,656,388,76
545,647,387,86
546,652,381,87
547,652,379,89
548,644,381,95
549,643,382,95
550,645,381,94
551,640,385,95
552,650,380,90
553,644,382,94
554,646,382,92
555,641,387,92
556,646,385,89
557,655,374,91
558,649,369,102
559,642,373,105
560,650,367,103
561,643,368,109
562,650,362,108
563,637,369,114
564,648,365,107
565,647,362,111
566,648,358,114
567,649,352,119
568,639,357,124
569,640,361,119
570,640,365,115
571,635,374,111
572,640,378,102
573,644,378,98
574,644,381,95
575,643,382,95
576,639,387,94
577,644,388,88
578,641,391,88
579,647,388,85
580,642,391,87
581,641,395,84
582,644,395,81
583,645,395,80
584,643,397,80
585,643,398,79
586,657,388,75
587,648,386,86
588,644,386,90
589,649,383,88
590,646,381,93
591,649,376,95
592,645,375,100
593,646,373,101
594,644,373,103
