time,quite,jail,active
0,1440,0,0
1,1425,9,6
2,1318,24,98
3,951,50,439
4,808,78,554
5,812,107,521
6,813,141,486
7,811,172,457
8,816,196,428
9,821,215,404
10,812,244,384
11,819,269,352
12,821,292,327
13,822,302,316
14,827,317,296
15,819,339,282
16,821,365,254
17,826,379,235
18,827,397,216
19,825,413,202
20,836,413,191
21,829,427,184
22,830,443,167
23,836,452,152
24,825,473,142
25,854,471,115
26,858,478,104
27,867,484,89
28,889,477,74
29,899,474,67
30,915,478,47
31,946,475,19
32,987,452,1
33,1010,428,2
34,1036,404,0
35,1071,369,0
36,1090,350,0
37,1110,321,9
38,1080,301,59
39,1020,295,125
40,912,289,239
41,834,298,308
42,831,306,303
43,834,314,292
44,835,325,280
45,839,335,266
46,831,342,267
47,836,353,251
48,832,362,246
49,832,378,230
50,835,385,220
51,837,390,213
52,824,406,210
53,826,419,195
54,823,435,182
55,836,444,160
56,846,450,144
57,839,467,134
58,839,482,119
59,847,484,109
60,857,486,97
61,867,488,85
62,873,503,64
63,893,505,42
64,917,500,23
65,935,487,18
66,935,473,32
67,946,451,43
68,956,431,53
69,944,434,62
70,946,424,70
71,945,417,78
72,900,418,122
73,892,417,131
74,864,421,155
75,830,437,173
76,839,445,156
77,832,453,155
78,843,453,144
79,844,460,136
80,848,462,130
81,867,447,126
82,848,448,144
83,838,453,149
84,850,458,132
85,851,476,113
86,856,483,101
87,861,494,85
88,898,476,66
89,875,471,94
90,875,478,87
91,881,484,75
92,894,485,61
93,909,487,44
94,925,485,30
95,947,458,35
96,929,445,66
97,940,434,66
98,901,430,109
99,875,424,141
100,864,426,150
101,845,434,161
102,835,446,159
103,837,448,155
104,851,444,145
105,841,457,142
106,834,472,134
107,840,483,117
108,858,489,93
109,859,497,84
110,895,483,62
111,905,482,53
112,922,490,28
113,934,478,28
114,960,451,29
115,971,437,32
116,968,422,50
117,954,410,76
118,903,422,115
119,882,426,132
120,895,422,123
121,884,425,131
122,846,432,162
123,842,438,160
124,850,435,155
125,841,434,165
126,847,431,162
127,842,437,161
128,847,440,153
129,844,446,150
130,837,454,149
131,843,465,132
132,847,473,120
133,848,475,117
134,871,481,88
135,891,478,71
136,905,468,67
137,926,465,49
138,941,461,38
139,982,439,19
140,985,421,34
141,954,421,65
142,909,428,103
143,893,442,105
144,905,448,87
145,912,451,77
146,917,443,80
147,895,442,103
148,869,437,134
149,882,428,130
150,855,427,158
151,842,428,170
152,851,424,165
153,836,436,168
154,850,434,156
155,832,449,159
156,843,461,136
157,867,450,123
158,853,453,134
159,863,454,123
160,870,455,115
161,872,453,115
162,878,449,113
163,861,447,132
164,850,451,139
165,838,459,143
166,852,467,121
167,866,476,98
168,887,479,74
169,911,479,50
170,908,481,51
171,931,474,35
172,951,452,37
173,936,455,49
174,950,448,42
175,953,439,48
176,970,432,38
177,960,428,52
178,959,426,55
179,914,422,104
180,884,428,128
181,859,434,147
182,847,448,145
183,849,451,140
184,852,453,135
185,838,460,142
186,837,470,133
187,846,473,121
188,849,483,108
189,869,484,87
190,884,486,70
191,906,490,44
192,935,477,28
193,955,463,22
194,979,442,19
195,964,439,37
196,958,444,38
197,979,435,26
198,1000,417,23
199,1004,409,27
200,1013,404,23
201,996,398,46
202,975,387,78
203,959,386,95
204,914,394,132
205,855,386,199
206,847,383,210
207,832,392,216
208,839,395,206
209,844,390,206
210,832,395,213
211,840,398,202
212,843,398,199
213,840,400,200
214,830,415,195
215,832,430,178
216,830,446,164
217,833,459,148
218,837,465,138
219,836,483,121
220,843,487,110
221,853,496,91
222,864,506,70
223,883,512,45
224,909,508,23
225,944,493,3
226,981,459,0
227,1009,431,0
228,1041,398,1
229,1062,378,0
230,1089,349,2
231,1120,319,1
232,1147,293,0
233,1178,262,0
234,1194,246,0
235,1219,221,0
236,1237,203,0
237,1258,182,0
238,1281,158,1
239,1304,136,0
240,1321,118,1
241,1335,105,0
242,1350,90,0
243,1367,73,0
244,1375,65,0
245,1388,52,0
246,1396,42,2
247,1358,44,38
248,1060,65,315
249,817,92,531
250,810,128,502
251,817,153,470
252,822,170,448
253,818,196,426
254,814,225,401
255,815,250,375
256,813,282,345
257,822,302,316
258,817,326,297
259,814,353,273
260,825,370,245
261,825,385,230
262,825,398,217
263,839,404,197
264,826,416,198
265,829,424,187
266,829,437,174
267,825,455,160
268,840,466,134
269,850,473,117
270,852,483,105
271,857,499,84
272,878,495,67
273,916,494,30
274,937,489,14
275,952,471,17
276,982,428,30
277,988,411,41
278,1008,397,35
279,1000,395,45
280,962,400,78
281,951,388,101
282,894,388,158
283,867,390,183
284,833,400,207
285,834,409,197
286,841,407,192
287,829,412,199
288,834,420,186
289,835,429,176
290,833,438,169
291,844,441,155
292,836,452,152
293,843,452,145
294,839,464,137
295,849,460,131
296,849,470,121
297,850,482,108
298,860,490,90
299,875,486,79
300,874,495,71
301,892,488,60
302,927,488,25
303,960,465,15
304,1003,437,0
305,1032,408,0
306,1051,388,1
307,1075,364,1
308,1064,343,33
309,1001,341,98
310,937,345,158
311,856,350,234
312,832,358,250
313,833,364,243
314,835,375,230
315,831,392,217
316,834,404,202
317,836,405,199
318,834,411,195
319,840,409,191
320,842,412,186
321,832,423,185
322,836,426,178
323,835,433,172
324,836,448,156
325,847,456,137
326,858,465,117
327,865,465,110
328,871,464,105
329,881,468,91
330,877,477,86
331,876,486,78
332,879,492,69
333,877,495,68
334,879,500,61
335,904,493,43
336,941,481,18
337,966,468,6
338,993,441,6
339,1022,418,0
340,1049,391,0
341,1078,358,4
342,1055,339,46
343,1005,326,109
344,907,325,208
345,833,332,275
346,831,346,263
347,833,354,253
348,839,353,248
349,830,367,243
350,828,377,235
351,832,386,222
352,837,395,208
353,835,401,204
354,836,414,190
355,841,417,182
356,841,425,174
357,832,433,175
358,828,448,164
359,850,443,147
360,836,446,158
361,834,459,147
362,849,463,128
363,843,477,120
364,860,483,97
365,873,497,70
366,901,502,37
367,940,488,12
368,976,462,2
369,1004,436,0
370,1038,401,1
371,1063,377,0
372,1091,348,1
