time,quite,jail,active
0,1120,0,0
1,726,12,382
2,650,34,436
3,636,56,428
4,634,85,401
5,638,106,376
6,637,125,358
7,634,148,338
8,635,173,312
9,646,191,283
10,643,207,270
11,644,219,257
12,643,231,246
13,643,243,234
14,638,256,226
15,640,268,212
16,647,271,202
17,644,283,193
18,649,287,184
19,650,287,183
20,652,291,177
21,653,286,181
22,645,293,182
23,657,300,163
24,657,304,159
25,654,305,161
26,660,301,159
27,661,301,158
28,655,304,161
29,656,303,161
30,667,294,159
31,663,289,168
32,661,281,178
33,665,279,176
34,657,280,183
35,658,281,181
36,658,283,179
37,672,277,171
38,667,269,184
39,671,263,186
40,666,264,190
41,657,264,199
42,654,267,199
43,654,272,194
44,658,265,197
45,662,265,193
46,654,263,203
47,662,264,194
48,669,255,196
49,658,260,202
50,654,268,198
51,657,268,195
52,656,270,194
53,657,267,196
54,665,265,190
55,660,271,189
56,663,274,183
57,662,271,187
58,659,270,191
59,655,268,197
60,654,273,193
61,662,272,186
62,653,282,185
63,676,270,174
64,661,277,182
65,654,286,180
66,648,289,183
67,655,290,175
68,656,295,169
69,651,302,167
70,656,305,159
71,662,303,155
72,669,298,153
73,670,291,159
74,671,287,162
75,660,287,173
76,659,281,180
77,658,286,176
78,660,282,178
79,653,281,186
80,656,283,181
81,655,291,174
82,661,293,166
83,663,294,163
84,657,306,157
85,654,316,150
86,658,310,152
87,648,311,161
88,655,304,161
89,655,305,160
90,662,308,150
91,647,314,159
92,656,311,153
93,657,309,154
94,660,307,153
95,655,297,168
96,662,289,169
97,650,287,183
98,654,291,175
99,650,289,181
100,669,272,179
101,657,273,190
102,659,274,187
103,673,269,178
104,660,266,194
105,655,264,201
106,653,267,200
107,650,273,197
108,650,281,189
109,650,282,188
110,660,275,185
111,663,269,188
112,655,269,196
113,657,267,196
114,664,264,192
115,666,256,198
116,662,257,201
117,656,261,203
118,651,269,200
119,648,279,193
120,652,281,187
121,659,273,188
122,651,278,191
123,653,280,187
124,651,281,188
125,657,280,183
126,657,285,178
127,657,282,181
128,667,277,176
129,663,277,180
130,655,285,180
131,655,287,178
132,659,290,171
133,657,291,172
134,659,289,172
135,657,292,171
136,663,293,164
137,654,294,172
138,650,297,173
139,656,296,168
140,664,290,166
141,661,291,168
142,664,294,162
143,664,293,163
144,662,294,164
145,659,297,164
146,658,298,164
147,656,299,165
148,654,298,168
149,653,296,171
150,652,299,169
151,662,291,167
152,663,284,173
153,660,280,180
154,657,276,187
155,664,273,183
156,663,261,196
157,657,266,197
158,659,265,196
159,657,268,195
160,664,265,191
161,657,271,192
162,661,261,198
163,658,264,198
164,653,271,196
165,658,272,190
166,657,272,191
167,656,280,184
168,653,281,186
169,658,281,181
170,654,277,189
171,657,279,184
172,658,280,182
173,661,276,183
174,653,283,184
175,659,286,175
176,658,284,178
177,656,285,179
178,650,289,181
179,652,287,181
180,655,284,181
181,665,273,182
182,650,276,194
183,649,277,194
184,657,279,184
185,663,277,180
186,662,276,182
187,656,282,182
188,656,288,176
189,657,293,170
190,658,290,172
191,660,281,179
192,670,282,168
193,659,280,181
194,661,273,186
195,660,278,182
196,659,276,185
197,661,275,184
198,658,274,188
199,654,279,187
200,661,274,185
201,653,279,188
202,649,287,184
203,649,290,181
204,651,289,180
205,650,287,183
206,671,278,171
207,655,277,188
208,653,284,183
209,661,283,176
210,656,283,181
211,663,278,179
212,662,281,177
213,667,285,168
214,670,286,164
215,670,283,167
216,675,272,173
217,669,263,188
218,653,270,197
219,646,273,201
220,646,280,194
221,658,265,197
222,656,267,197
223,667,264,189
224,666,257,197
225,661,254,205
226,658,256,206
227,653,268,199
228,656,269,195
229,658,270,192
230,651,279,190
231,650,284,186
232,645,290,185
233,647,295,178
234,652,291,177
235,660,292,168
236,663,283,174
237,656,281,183
238,660,280,180
239,662,283,175
240,662,284,174
241,651,289,180
242,667,276,177
243,661,268,191
244,660,271,189
245,652,281,187
246,665,272,183
247,652,281,187
248,655,282,183
249,651,286,183
250,656,286,178
251,667,279,174
252,659,272,189
253,661,268,191
254,658,276,186
255,665,265,190
256,649,276,195
257,656,277,187
258,652,281,187
259,651,292,177
260,660,287,173
261,664,278,178
262,659,278,183
263,669,272,179
264,656,274,190
265,660,265,195
266,653,262,205
267,644,273,203
268,653,273,194
269,656,273,191
270,661,270,189
271,661,267,192
272,662,263,195
273,661,262,197
274,653,273,194
275,650,274,196
276,647,274,199
277,653,271,196
278,649,274,197
279,656,278,186
280,650,279,191
281,658,284,178
282,671,273,176
283,650,279,191
284,655,287,178
285,655,287,178
286,659,280,181
287,660,273,187
288,655,280,185
289,665,269,186
290,653,283,184
291,659,287,174
292,658,286,176
293,654,280,186
294,647,288,185
295,657,289,174
296,655,290,175
297,660,289,171
298,654,281,185
299,651,284,185
300,665,280,175
301,671,266,183
302,672,253,195
303,660,253,207
304,661,252,207
305,659,253,208
306,651,259,210
307,654,259,207
308,663,251,206
309,663,244,213
310,659,242,219
311,650,248,222
312,656,244,220
313,664,240,216
314,651,251,218
315,659,248,213
316,649,258,213
317,651,264,205
318,657,273,190
319,655,279,186
320,659,282,179
321,663,283,174
322,665,273,182
323,652,284,184
324,655,284,181
325,658,279,183
326,650,272,198
327,658,271,191
328,661,270,189
329,666,258,196
330,658,266,196
331,666,257,197
332,654,263,203
333,666,252,202
334,659,253,208
335,653,266,201
336,655,264,201
337,644,278,198
338,653,285,182
339,644,296,180
340,652,300,168
341,658,294,168
342,659,291,170
343,655,296,169
344,659,298,163
345,654,297,169
346,659,295,166
347,668,288,164
348,665,287,168
349,669,275,176
350,657,281,182
351,649,288,183
352,651,289,180
353,658,287,175
354,649,295,176
355,671,281,168
356,670,275,175
357,663,273,184
358,668,267,185
359,653,274,193
360,652,283,185
361,657,282,181
362,661,274,185
363,655,272,193
364,658,273,189
365,658,277,185
366,661,273,186
367,662,272,186
368,666,265,189
369,660,266,194
370,656,269,195
371,653,272,195
372,653,273,194
373,668,265,187
374,653,267,200
375,653,266,201
376,654,274,192
377,662,282,176
378,663,277,180
379,657,287,176
380,657,289,174
381,663,286,171
382,661,288,171
383,662,279,179
384,649,277,194
385,654,278,188
386,655,286,179
387,656,283,181
388,651,285,184
389,650,283,187
390,657,285,178
391,653,284,183
392,647,286,187
393,649,291,180
394,648,290,182
395,660,281,179
396,655,286,179
397,659,281,180
398,650,287,183
399,657,283,180
400,650,283,187
401,657,282,181
402,659,283,178
403,663,282,175
404,657,283,180
405,655,281,184
406,652,281,187
407,659,280,181
408,658,280,182
409,656,283,181
410,666,279,175
411,657,281,182
412,653,284,183
413,652,286,182
414,662,285,173
415,665,285,170
416,650,295,175
417,653,301,166
418,658,297,165
419,648,297,175
420,658,293,169
421,650,293,177
422,660,293,167
423,658,295,167
424,654,302,164
425,658,306,156
426,661,295,164
427,663,280,177
428,661,280,179
429,654,285,181
430,663,281,176
431,665,278,177
432,661,282,177
433,655,287,178
434,667,287,166
435,666,282,172
436,669,279,172
437,662,280,178
438,652,281,187
439,662,284,174
440,664,287,169
441,663,286,171
442,655,288,177
443,654,289,177
444,660,287,173
445,657,282,181
446,654,285,181
447,658,286,176
448,660,280,180
449,667,283,170
450,663,281,176
451,658,276,186
452,645,286,189
453,656,282,182
454,658,281,181
455,663,276,181
456,661,274,185
457,652,282,186
458,662,276,182
459,672,263,185
460,663,265,192
461,665,257,198
462,652,263,205
463,659,258,203
