time,quite,jail,active
0,1440,0,0
1,1371,18,51
2,947,47,446
3,794,81,565
4,791,116,533
5,794,151,495
6,798,176,466
7,801,199,440
8,799,226,415
9,801,246,393
10,800,272,368
11,805,295,340
12,812,308,320
13,803,334,303
14,803,355,282
15,807,370,263
16,804,391,245
17,806,403,231
18,808,420,212
19,825,416,199
20,810,426,204
21,810,440,190
22,819,447,174
23,813,450,177
24,829,446,165
25,814,466,160
26,824,464,152
27,821,463,156
28,815,473,152
29,819,483,138
30,838,481,121
31,845,470,125
32,834,476,130
33,841,483,116
34,846,484,110
35,860,484,96
36,872,479,89
37,893,466,81
38,876,477,87
39,874,469,97
40,863,472,105
41,867,463,110
42,831,454,155
43,824,452,164
44,831,444,165
45,830,445,165
46,836,438,166
47,832,442,166
48,830,447,163
49,840,449,151
50,843,454,143
51,838,458,144
52,821,466,153
53,808,474,158
54,818,478,144
55,818,487,135
56,836,486,118
57,834,478,128
58,834,469,137
59,822,477,141
60,828,475,137
61,823,483,134
62,824,488,128
63,836,485,119
64,846,485,109
65,858,482,100
66,863,477,100
67,860,478,102
68,847,485,108
69,865,481,94
70,878,479,83
71,883,473,84
72,877,473,90
73,867,467,106
74,849,465,126
75,860,454,126
76,857,457,126
77,844,453,143
78,813,470,157
79,822,479,139
80,834,478,128
81,842,479,119
82,863,465,112
83,843,470,127
84,851,477,112
85,846,473,121
86,832,474,134
87,826,471,143
88,827,470,143
89,829,469,142
90,849,453,138
91,826,466,148
92,830,456,154
93,821,459,160
94,832,455,153
95,820,454,166
96,824,455,161
97,826,455,159
98,827,461,152
99,824,475,141
100,831,479,130
101,843,474,123
102,847,461,132
103,846,460,134
104,850,460,130
105,837,464,139
106,819,472,149
107,840,469,131
108,848,465,127
109,850,464,126
110,840,467,133
111,835,474,131
112,832,473,135
113,820,479,141
114,830,491,119
115,837,489,114
116,845,497,98
117,860,497,83
118,863,492,85
119,880,485,75
120,912,470,58
121,928,461,51
122,931,457,52
123,938,437,65
124,898,433,109
125,850,438,152
126,825,438,177
127,824,440,176
128,814,447,179
129,829,441,170
130,818,439,183
131,822,439,179
132,819,445,176
133,824,442,174
134,826,438,176
135,826,439,175
136,817,445,178
137,822,444,174
138,833,439,168
139,816,445,179
140,823,451,166
141,822,465,153
142,834,469,137
143,828,466,146
144,827,472,141
145,822,472,146
146,819,487,134
147,822,495,123
148,848,484,108
149,834,488,118
150,846,492,102
151,850,491,99
152,851,502,87
153,843,505,92
154,864,489,87
155,854,494,92
156,872,491,77
157,865,492,83
158,890,482,68
159,901,470,69
160,877,476,87
161,861,467,112
162,849,470,121
163,827,478,135
164,827,479,134
165,831,482,127
166,827,495,118
167,832,500,108
168,858,493,89
169,849,501,90
170,873,492,75
171,867,498,75
172,885,481,74
173,868,483,89
174,871,475,94
175,858,470,112
176,848,469,123
177,828,470,142
178,828,470,142
179,827,469,144
180,828,465,147
181,825,472,143
182,824,469,147
183,832,468,140
184,827,467,146
185,822,472,146
186,829,469,142
187,836,476,128
188,835,479,126
189,836,476,128
190,840,475,125
191,841,473,126
192,842,469,129
193,822,473,145
194,827,475,138
195,823,476,141
196,821,477,142
197,828,482,130
198,847,483,110
199,842,491,107
200,852,493,95
201,849,488,103
202,847,487,106
203,827,486,127
204,818,499,123
205,838,491,111
206,844,489,107
207,842,491,107
208,843,493,104
209,854,485,101
210,856,488,96
211,864,480,96
212,857,475,108
213,833,482,125
214,832,482,126
215,838,475,127
216,827,479,134
217,840,470,130
218,841,469,130
219,819,482,139
220,839,468,133
221,839,458,143
222,829,460,151
223,825,460,155
224,837,452,151
225,824,456,160
226,820,457,163
227,827,450,163
228,809,463,168
229,823,466,151
230,823,466,151
231,817,472,151
232,826,485,129
233,839,485,116
234,847,482,111
235,828,482,130
236,830,483,127
237,835,475,130
238,838,468,134
239,835,476,129
240,857,458,125
241,860,462,118
242,855,462,123
243,873,458,109
244,874,446,120
245,841,441,158
246,834,444,162
247,833,458,149
248,841,450,149
249,832,452,156
250,831,457,152
251,833,463,144
252,834,462,144
253,834,467,139
254,826,457,157
255,828,455,157
256,808,475,157
257,842,478,120
258,843,482,115
259,859,476,105
260,852,476,112
261,819,490,131
262,838,492,110
263,849,479,112
264,847,475,118
265,827,477,136
266,832,479,129
267,848,470,122
268,827,473,140
269,829,464,147
270,824,469,147
271,830,466,144
272,817,472,151
273,828,471,141
274,822,475,143
275,831,467,142
276,835,465,140
277,841,456,143
278,831,461,148
279,824,458,158
280,821,469,150
281,816,473,151
282,820,475,145
283,839,478,123
284,841,474,125
285,852,471,117
286,842,454,144
287,822,456,162
288,820,459,161
289,828,456,156
290,824,456,160
291,834,444,162
292,820,449,171
293,819,446,175
294,824,446,170
295,821,453,166
296,822,459,159
297,830,458,152
298,836,453,151
299,837,460,143
300,824,466,150
301,836,468,136
302,836,469,135
303,839,462,139
304,826,461,153
305,835,456,149
306,823,458,159
307,837,455,148
308,826,453,161
309,824,453,163
310,818,460,162
311,823,460,157
312,822,460,158
313,824,467,149
314,826,463,151
315,830,471,139
316,831,479,130
317,839,486,115
318,851,495,94
319,854,497,89
320,853,501,86
321,869,496,75
322,888,488,64
323,905,487,48
324,899,484,57
325,905,481,54
326,917,464,59
327,919,447,74
328,871,448,121
329,837,448,155
330,819,455,166
331,828,456,156
332,826,448,166
333,818,453,169
334,830,453,157
335,829,458,153
336,843,454,143
337,841,450,149
338,834,451,155
339,813,459,168
340,834,452,154
341,819,446,175
342,821,450,169
343,827,449,164
344,828,452,160
345,829,450,161
346,831,456,153
347,830,455,155
348,831,453,156
349,837,449,154
350,834,451,155
351,842,445,153
352,837,443,160
353,819,443,178
354,817,448,175
355,816,454,170
356,820,459,161
357,815,467,158
