time,quite,jail,active
0,1120,0,0
1,975,28,117
2,700,86,334
3,621,144,355
4,623,200,297
5,625,254,241
6,625,307,188
7,627,357,136
8,648,400,72
9,668,436,16
10,696,424,0
11,712,408,0
12,729,391,0
13,746,374,0
14,764,355,1
15,782,338,0
16,798,322,0
17,817,303,0
18,828,292,0
19,838,281,1
20,852,268,0
21,877,243,0
22,894,226,0
23,884,217,19
24,867,213,40
25,838,238,44
26,855,250,15
27,888,229,3
28,910,210,0
29,925,195,0
30,948,172,0
31,945,157,18
32,836,164,120
33,719,201,200
34,633,249,238
35,639,290,191
36,637,340,143
37,655,377,88
38,665,410,45
39,684,427,9
40,707,413,0
41,734,386,0
42,753,367,0
43,768,352,0
44,783,337,0
45,797,323,0
46,820,300,0
47,830,287,3
48,851,269,0
49,872,248,0
50,894,226,0
51,910,210,0
52,929,191,0
53,946,174,0
54,966,154,0
55,977,143,0
56,995,125,0
57,1004,115,1
58,1019,101,0
59,1031,88,1
60,986,92,42
61,836,113,171
62,670,157,293
63,628,206,286
64,627,258,235
65,641,301,178
66,643,348,129
67,655,392,73
68,672,417,31
69,690,429,1
70,706,414,0
71,723,396,1
72,737,383,0
73,751,367,2
74,767,353,0
75,780,340,0
76,797,323,0
77,816,304,0
78,819,299,2
79,841,278,1
80,854,266,0
81,874,245,1
82,891,229,0
83,916,204,0
84,934,186,0
85,953,167,0
86,973,147,0
87,988,131,1
88,1002,118,0
89,1019,101,0
90,1037,83,0
91,1056,63,1
92,1065,55,0
93,1084,36,0
94,1067,32,21
95,898,68,154
96,633,128,359
97,624,182,314
98,626,232,262
99,623,284,213
100,628,335,157
101,638,387,95
102,670,412,38
103,694,426,0
104,714,406,0
105,728,392,0
106,744,375,1
107,756,364,0
108,774,346,0
109,791,328,1
110,802,318,0
111,822,298,0
112,839,281,0
113,850,269,1
114,872,248,0
115,885,235,0
116,902,218,0
117,919,201,0
118,936,183,1
119,957,163,0
120,973,147,0
121,986,132,2
122,998,122,0
123,1022,98,0
124,1038,80,2
125,1051,69,0
126,1066,54,0
127,1080,40,0
128,1085,35,0
129,1009,45,66
130,767,94,259
131,622,151,347
132,620,209,291
133,627,259,234
134,630,308,182
135,637,353,130
136,653,396,71
137,678,428,14
138,691,429,0
139,705,415,0
140,727,393,0
141,736,384,0
142,754,366,0
143,773,347,0
144,796,324,0
145,816,304,0
146,831,289,0
147,851,269,0
148,852,259,9
149,860,258,2
150,882,238,0
151,894,225,1
152,905,215,0
153,918,202,0
154,932,188,0
155,948,172,0
156,971,149,0
157,997,123,0
158,1013,107,0
159,1023,93,4
160,968,89,63
161,780,122,218
162,639,166,315
163,621,221,278
164,639,260,221
165,634,307,179
166,638,352,130
167,644,402,74
168,674,436,10
169,700,420,0
170,715,404,1
171,730,390,0
172,741,379,0
173,756,364,0
174,778,342,0
175,795,325,0
176,810,310,0
177,831,289,0
178,853,267,0
179,874,246,0
180,891,229,0
181,904,216,0
182,924,196,0
183,940,180,0
184,961,159,0
185,968,151,1
186,984,136,0
187,987,127,6
188,997,123,0
189,1015,104,1
190,1032,87,1
191,1051,69,0
192,1060,60,0
193,1068,52,0
194,1077,43,0
195,1087,33,0
196,1092,27,1
197,1093,25,2
198,1093,26,1
199,1095,25,0
200,1093,26,1
201,1094,26,0
202,1091,27,2
203,1029,39,52
204,826,81,213
205,629,139,352
206,624,193,303
207,622,247,251
208,630,296,194
209,647,333,140
210,660,374,86
211,674,410,36
212,700,417,3
213,715,405,0
214,733,387,0
215,752,368,0
216,779,341,0
217,769,336,15
218,782,322,16
219,788,323,9
220,787,324,9
221,796,320,4
222,814,306,0
223,844,276,0
224,869,251,0
225,893,227,0
226,903,214,3
227,922,198,0
228,936,184,0
229,956,164,0
230,973,147,0
231,991,129,0
232,995,115,10
233,907,128,85
234,797,164,159
235,637,207,276
236,638,247,235
237,644,281,195
238,637,325,158
239,640,374,106
240,667,414,39
