time,quite,jail,active
0,1120,0,0
1,1067,19,34
2,851,64,205
3,652,127,341
4,645,186,289
5,646,242,232
6,661,291,168
7,660,342,118
8,674,382,64
9,691,416,13
10,709,409,2
11,712,402,6
12,727,393,0
13,741,379,0
14,757,362,1
15,778,342,0
16,793,327,0
17,813,307,0
18,826,293,1
19,843,277,0
20,854,266,0
21,869,251,0
22,887,233,0
23,902,218,0
24,913,205,2
25,908,197,15
26,865,199,56
27,844,211,65
28,776,242,102
29,692,289,139
30,708,310,102
31,701,340,79
32,730,362,28
33,761,355,4
34,783,337,0
35,810,308,2
36,819,300,1
37,837,282,1
38,843,276,1
39,858,262,0
40,878,242,0
41,881,236,3
42,855,238,27
43,865,243,12
44,870,250,0
45,879,241,0
46,895,225,0
47,908,208,4
48,847,209,64
49,754,244,122
50,731,270,119
51,710,304,106
52,700,336,84
53,722,359,39
54,742,359,19
55,765,354,1
56,787,333,0
57,811,309,0
58,815,300,5
59,836,284,0
60,848,271,1
61,860,260,0
62,875,244,1
63,888,232,0
64,896,224,0
65,904,216,0
66,911,209,0
67,916,197,7
68,912,191,17
69,875,198,47
70,859,223,38
71,814,248,58
72,746,267,107
73,697,302,121
74,700,332,88
75,707,368,45
76,746,373,1
77,773,347,0
78,802,318,0
79,825,295,0
80,844,276,0
81,860,260,0
82,869,250,1
83,884,236,0
84,898,222,0
85,907,213,0
86,920,200,0
87,935,184,1
88,937,183,0
89,948,172,0
90,954,165,1
91,926,159,35
92,883,179,58
93,804,203,113
94,736,232,152
95,670,279,171
96,668,319,133
97,674,364,82
98,707,384,29
99,729,386,5
100,750,370,0
101,778,341,1
102,794,326,0
103,814,306,0
104,825,295,0
105,840,280,0
106,850,269,1
107,863,257,0
108,874,246,0
109,887,230,3
110,891,228,1
111,906,214,0
112,919,201,0
113,926,192,2
114,940,178,2
115,955,165,0
116,966,154,0
117,982,137,1
118,998,122,0
119,1011,109,0
120,1024,96,0
121,1041,79,0
122,1059,61,0
123,1064,56,0
124,1055,53,12
125,993,69,58
126,781,110,229
127,645,168,307
128,654,218,248
129,655,266,199
130,651,322,147
131,667,373,80
132,698,397,25
133,712,405,3
134,729,389,2
135,752,368,0
136,772,348,0
137,787,333,0
138,802,317,1
139,818,302,0
140,822,291,7
141,839,281,0
142,848,271,1
143,861,254,5
144,858,255,7
145,876,244,0
146,896,224,0
147,910,209,1
148,919,200,1
149,938,182,0
150,949,170,1
151,969,151,0
152,980,140,0
153,989,128,3
154,1013,106,1
155,1024,95,1
156,1046,74,0
157,1041,69,10
158,1039,79,2
159,1050,70,0
160,1053,67,0
161,1055,65,0
162,1060,60,0
163,1063,56,1
164,1068,52,0
165,1070,50,0
166,1070,49,1
167,1074,46,0
168,1078,41,1
169,1026,47,47
170,858,90,172
171,663,143,314
