t,q,j,a
0,640,0,0
1,629,11,0
2,630,10,0
3,630,10,0
4,626,10,4
5,613,18,9
6,601,34,5
7,605,35,0
8,604,36,0
9,604,36,0
10,607,33,0
11,608,32,0
12,610,30,0
13,611,29,0
14,613,27,0
15,610,30,0
16,611,29,0
17,614,26,0
18,611,29,0
19,613,26,1
20,577,30,33
21,503,59,78
22,441,101,98
23,412,147,81
24,401,186,53
25,413,208,19
26,427,212,1
27,434,206,0
28,441,198,1
29,450,190,0
30,461,179,0
31,473,167,0
32,483,157,0
33,493,147,0
34,500,140,0
35,505,135,0
36,513,126,1
37,524,116,0
38,531,109,0
39,540,99,1
40,553,87,0
41,549,84,7
42,552,85,3
43,563,77,0
44,570,70,0
45,575,65,0
46,579,61,0
47,582,57,1
48,590,50,0
49,593,47,0
50,602,37,1
51,590,41,9
52,598,42,0
53,599,41,0
54,604,36,0
55,605,34,1
56,606,34,0
57,608,32,0
58,610,30,0
59,614,25,1
60,615,24,1
61,609,26,5
62,613,27,0
63,610,26,4
64,591,33,16
65,574,49,17
66,565,70,5
67,571,69,0
68,567,69,4
69,561,77,2
70,563,77,0
71,567,73,0
72,571,69,0
73,575,65,0
74,578,62,0
75,581,59,0
76,581,59,0
77,585,55,0
78,589,51,0
79,585,53,2
80,584,55,1
81,586,52,2
82,579,57,4
83,579,59,2
84,584,56,0
85,587,53,0
86,591,49,0
87,595,44,1
88,599,41,0
89,603,37,0
90,604,36,0
91,606,34,0
92,610,30,0
93,611,29,0
94,615,25,0
95,617,22,1
96,615,25,0
97,620,20,0
98,620,20,0
99,619,21,0
100,621,19,0
101,622,18,0
102,623,17,0
103,625,15,0
104,626,14,0
105,609,22,9
106,614,26,0
107,613,27,0
108,612,28,0
109,616,24,0
110,616,24,0
111,617,23,0
112,618,22,0
113,614,22,4
114,615,25,0
115,615,25,0
116,617,23,0
117,618,21,1
118,617,23,0
119,618,22,0
120,619,21,0
121,620,20,0
122,621,19,0
123,621,19,0
124,619,20,1
125,611,22,7
126,565,38,37
127,541,68,31
128,554,86,0
129,556,84,0
130,562,78,0
131,564,76,0
132,567,73,0
133,572,68,0
134,574,65,1
135,577,63,0
136,581,59,0
137,583,56,1
138,581,58,1
139,583,57,0
140,587,53,0
141,589,51,0
142,594,46,0
143,595,45,0
144,598,41,1
145,572,45,23
146,554,68,18
147,565,75,0
148,573,66,1
149,575,64,1
150,585,55,0
151,589,51,0
152,592,48,0
153,583,50,7
154,575,53,12
155,547,56,37
156,512,82,46
157,484,116,40
158,492,135,13
159,506,134,0
160,511,128,1
161,516,124,0
162,520,120,0
163,526,114,0
164,530,110,0
165,534,106,0
166,533,105,2
167,538,102,0
168,539,99,2
169,543,97,0
170,542,91,7
171,520,98,22
172,518,112,10
173,527,113,0
174,536,104,0
175,541,97,2
176,525,101,14
177,532,102,6
178,538,102,0
179,548,92,0
180,553,84,3
181,559,81,0
182,560,79,1
183,565,75,0
184,566,68,6
185,557,69,14
186,552,77,11
187,560,80,0
188,563,77,0
189,564,74,2
190,567,73,0
191,569,71,0
192,569,71,0
193,574,66,0
194,577,63,0
195,583,57,0
196,585,55,0
197,591,49,0
198,592,47,1
199,598,42,0
200,600,38,2
201,585,43,12
202,549,57,34
203,533,79,28
204,539,99,2
205,547,93,0
206,551,88,1
207,555,85,0
208,560,80,0
209,563,75,2
210,565,73,2
211,570,70,0
212,574,65,1
213,580,60,0
214,583,55,2
215,589,51,0
216,589,51,0
217,596,44,0
218,598,41,1
219,599,41,0
220,592,42,6
221,594,44,2
222,595,44,1
223,595,43,2
224,574,49,17
225,551,58,31
226,497,86,57
227,471,117,52
228,477,150,13
229,488,151,1
230,501,139,0
231,504,136,0
232,511,129,0
233,520,120,0
234,526,114,0
235,529,111,0
236,535,104,1
237,538,102,0
238,552,88,0
239,556,83,1
240,561,79,0
241,564,76,0
242,569,71,0
243,571,69,0
244,573,64,3
245,578,62,0
246,585,55,0
247,591,49,0
248,595,45,0
249,602,38,0
250,611,29,0
251,613,26,1
252,616,24,0
253,622,18,0
254,622,17,1
255,624,16,0
256,628,12,0
257,628,11,1
258,629,11,0
259,627,13,0
260,627,13,0
261,627,13,0
262,618,15,7
263,593,31,16
264,567,47,26
265,546,69,25
266,540,89,11
267,516,104,20
268,504,116,20
269,507,132,1
270,508,132,0
271,518,122,0
272,523,117,0
273,524,116,0
274,527,112,1
275,529,111,0
276,535,105,0
