t,q,j,a
0,1440,0,0
1,1412,24,4
2,1411,29,0
3,1412,28,0
4,1410,29,1
5,1412,28,0
6,1412,27,1
7,1413,27,0
8,1411,28,1
9,1410,30,0
10,1412,28,0
11,1410,30,0
12,1411,29,0
13,1411,29,0
14,1410,30,0
15,1413,27,0
16,1412,28,0
17,1412,28,0
18,1413,27,0
19,1412,27,1
20,1414,25,1
21,1413,27,0
22,1411,29,0
23,1411,29,0
24,1412,28,0
25,1412,28,0
26,1414,25,1
27,1411,29,0
28,1413,27,0
29,1413,27,0
30,1413,27,0
31,1411,29,0
32,1414,26,0
33,1411,29,0
34,1414,26,0
35,1413,27,0
36,1415,25,0
37,1413,27,0
38,1415,25,0
39,1415,25,0
40,1413,27,0
41,1412,28,0
42,1415,25,0
43,1412,28,0
44,1411,28,1
45,1412,28,0
46,1412,28,0
47,1413,27,0
48,1415,25,0
49,1414,26,0
50,1411,29,0
51,1417,23,0
52,1413,26,1
53,1414,26,0
54,1413,27,0
55,1412,28,0
56,1412,28,0
57,1414,26,0
58,1411,29,0
59,1412,28,0
60,1413,27,0
61,1411,29,0
62,1414,26,0
63,1413,26,1
64,1412,28,0
65,1412,28,0
66,1414,26,0
67,1413,27,0
68,1414,26,0
69,1413,27,0
70,1412,28,0
71,1414,26,0
72,1414,25,1
73,1414,26,0
74,1412,28,0
75,1413,27,0
76,1414,25,1
77,1412,28,0
78,1413,27,0
79,1415,25,0
80,1414,25,1
81,1412,28,0
82,1413,27,0
83,1412,28,0
84,1412,28,0
85,1416,24,0
86,1411,29,0
87,1411,29,0
88,1411,29,0
89,1413,27,0
90,1412,27,1
91,1412,27,1
92,1416,24,0
93,1413,27,0
94,1414,26,0
95,1413,27,0
96,1415,25,0
97,1412,28,0
98,1414,26,0
99,1412,28,0
100,1413,27,0
101,1413,27,0
102,1413,26,1
103,1411,29,0
104,1413,27,0
105,1414,26,0
106,1413,27,0
107,1411,29,0
108,1415,25,0
109,1414,24,2
110,1413,27,0
111,1413,26,1
112,1415,25,0
113,1413,27,0
114,1412,28,0
115,1412,28,0
116,1412,28,0
117,1414,26,0
118,1412,28,0
119,1412,28,0
120,1414,26,0
121,1413,27,0
122,1413,27,0
123,1412,27,1
124,1414,26,0
125,1412,28,0
126,1413,27,0
127,1416,24,0
128,1419,21,0
129,1412,26,2
130,1412,28,0
131,1413,26,1
132,1413,27,0
133,1413,27,0
134,1412,28,0
135,1414,26,0
136,1413,27,0
137,1412,27,1
138,1414,26,0
139,1414,26,0
140,1414,26,0
141,1417,23,0
142,1413,25,2
143,1414,26,0
144,1411,28,1
145,1413,27,0
146,1411,29,0
147,1412,28,0
148,1414,26,0
