t,q,j,a
0,1120,0,0
1,1104,15,1
2,1103,17,0
3,1102,18,0
4,1103,17,0
5,1104,16,0
6,1104,16,0
7,1103,16,1
8,1104,16,0
9,1103,17,0
10,1102,18,0
11,1103,17,0
12,1102,18,0
13,1105,15,0
14,1102,18,0
15,1103,17,0
16,1104,16,0
17,1102,16,2
18,1104,16,0
19,1103,17,0
20,1102,18,0
21,1102,18,0
22,1105,15,0
23,1105,15,0
24,1104,15,1
25,1103,17,0
26,1103,17,0
27,1102,18,0
28,1103,17,0
29,1106,14,0
30,1103,17,0
31,1104,16,0
32,1104,16,0
33,1102,18,0
34,1103,17,0
35,1103,17,0
36,1103,17,0
37,1102,18,0
38,1102,18,0
39,1103,17,0
40,1105,15,0
41,1104,16,0
42,1103,17,0
43,1102,18,0
44,1103,17,0
45,1104,16,0
46,1102,18,0
47,1103,17,0
48,1103,16,1
49,1103,16,1
50,1102,18,0
51,1102,18,0
52,1103,17,0
53,1104,16,0
54,1104,15,1
55,1103,17,0
56,1103,17,0
57,1106,14,0
58,1104,16,0
59,1104,16,0
60,1104,16,0
61,1103,17,0
62,1102,18,0
63,1103,17,0
64,1103,17,0
65,1105,15,0
66,1103,17,0
67,1103,17,0
68,1103,17,0
69,1102,18,0
70,1104,16,0
71,1102,18,0
72,1103,17,0
73,1104,16,0
74,1105,15,0
75,1102,17,1
76,1102,18,0
77,1105,15,0
78,1105,13,2
79,1104,16,0
80,1104,16,0
81,1102,18,0
82,1104,16,0
83,1104,16,0
84,1102,18,0
85,1104,16,0
86,1104,16,0
87,1104,16,0
88,1102,18,0
89,1104,16,0
90,1105,14,1
91,1102,18,0
92,1102,18,0
93,1103,17,0
94,1102,18,0
95,1103,17,0
96,1103,16,1
97,1103,17,0
98,1103,17,0
99,1105,15,0
100,1104,16,0
101,1102,18,0
102,1103,17,0
103,1104,16,0
104,1104,16,0
105,1104,16,0
106,1103,15,2
107,1102,18,0
108,1103,17,0
109,1103,17,0
110,1105,15,0
111,1105,13,2
112,1102,18,0
113,1102,18,0
114,1102,18,0
115,1102,18,0
116,1104,16,0
117,1104,16,0
118,1102,18,0
119,1104,16,0
120,1103,17,0
121,1102,18,0
122,1102,18,0
123,1104,16,0
124,1102,18,0
125,1102,18,0
126,1102,18,0
127,1103,17,0
128,1102,17,1
129,1104,16,0
130,1102,18,0
131,1104,16,0
132,1104,16,0
133,1104,16,0
134,1102,18,0
135,1103,17,0
136,1103,17,0
137,1103,17,0
138,1103,17,0
139,1102,18,0
140,1103,17,0
141,1103,17,0
142,1102,18,0
143,1105,15,0
144,1105,15,0
145,1102,18,0
146,1102,18,0
147,1105,15,0
148,1103,17,0
149,1104,16,0
150,1103,17,0
151,1103,17,0
152,1103,17,0
153,1103,17,0
154,1102,18,0
155,1102,18,0
156,1102,18,0
157,1105,15,0
158,1103,17,0
159,1102,18,0
160,1102,18,0
161,1104,16,0
162,1104,16,0
163,1106,14,0
164,1102,18,0
165,1102,18,0
166,1102,18,0
167,1102,18,0
168,1102,18,0
169,1104,16,0
170,1102,18,0
171,1105,15,0
172,1102,18,0
173,1104,16,0
174,1104,16,0
175,1103,17,0
176,1103,17,0
177,1108,12,0
178,1104,14,2
179,1102,18,0
180,1102,18,0
181,1103,17,0
182,1103,17,0
183,1104,16,0
184,1103,17,0
185,1102,17,1
186,1104,16,0
187,1103,16,1
188,1102,18,0
189,1104,16,0
190,1104,16,0
191,1105,14,1
192,1103,17,0
193,1102,17,1
194,1105,15,0
195,1102,18,0
196,1102,18,0
197,1103,17,0
198,1103,17,0
199,1103,17,0
200,1102,17,1
201,1103,17,0
202,1103,17,0
203,1105,15,0
204,1103,17,0
205,1102,18,0
206,1106,14,0
207,1105,15,0
208,1103,17,0
209,1102,18,0
210,1103,17,0
211,1102,18,0
212,1102,18,0
213,1104,16,0
214,1102,18,0
215,1105,15,0
216,1104,16,0
217,1103,17,0
218,1102,18,0
219,1102,18,0
220,1102,18,0
221,1104,16,0
222,1102,18,0
223,1105,15,0
224,1102,18,0
225,1104,16,0
226,1105,15,0
227,1105,14,1
228,1103,16,1
229,1103,17,0
230,1103,16,1
231,1104,16,0
