t,q,j,a
0,1440,0,0
1,1419,18,3
2,1417,23,0
3,1417,23,0
4,1419,21,0
5,1419,21,0
6,1418,22,0
7,1418,22,0
8,1417,23,0
9,1419,21,0
10,1418,22,0
11,1418,22,0
12,1417,23,0
13,1418,22,0
14,1418,22,0
15,1419,21,0
16,1418,22,0
17,1420,20,0
18,1421,19,0
19,1417,22,1
20,1418,22,0
21,1419,21,0
22,1418,22,0
23,1420,20,0
24,1419,21,0
25,1418,22,0
26,1420,19,1
27,1417,23,0
28,1418,22,0
29,1419,20,1
30,1418,22,0
31,1419,21,0
32,1421,19,0
33,1417,22,1
34,1421,19,0
35,1418,20,2
36,1417,23,0
37,1419,21,0
38,1419,21,0
39,1418,21,1
40,1417,23,0
41,1418,22,0
42,1417,23,0
43,1418,22,0
44,1420,20,0
45,1419,20,1
46,1417,22,1
47,1420,20,0
48,1419,21,0
49,1418,22,0
50,1417,23,0
51,1418,22,0
52,1418,22,0
53,1419,21,0
54,1419,21,0
55,1418,22,0
56,1420,19,1
57,1420,20,0
58,1421,19,0
59,1417,22,1
60,1420,20,0
61,1421,19,0
62,1417,23,0
63,1420,20,0
64,1422,18,0
65,1418,22,0
66,1417,23,0
67,1418,22,0
68,1418,22,0
69,1418,21,1
70,1417,22,1
71,1418,22,0
72,1419,21,0
73,1420,20,0
74,1420,20,0
75,1419,20,1
76,1420,20,0
77,1420,20,0
78,1419,21,0
79,1417,23,0
80,1417,23,0
81,1421,19,0
82,1418,22,0
83,1420,20,0
84,1418,22,0
85,1417,23,0
86,1420,20,0
87,1417,23,0
88,1418,22,0
89,1417,23,0
90,1418,22,0
91,1417,23,0
92,1418,22,0
93,1420,20,0
94,1418,22,0
95,1419,21,0
96,1418,21,1
97,1418,22,0
98,1420,20,0
99,1417,22,1
100,1420,20,0
101,1421,19,0
102,1420,20,0
103,1420,20,0
104,1419,21,0
105,1419,21,0
106,1419,21,0
107,1418,22,0
108,1418,22,0
109,1418,22,0
110,1420,20,0
111,1418,22,0
112,1417,23,0
113,1419,21,0
114,1419,21,0
115,1417,23,0
116,1418,22,0
117,1417,23,0
118,1419,21,0
119,1418,22,0
120,1417,23,0
121,1418,22,0
122,1418,22,0
123,1418,21,1
124,1420,20,0
125,1418,22,0
126,1421,19,0
127,1419,20,1
128,1417,23,0
129,1419,21,0
130,1419,21,0
131,1419,21,0
132,1419,20,1
133,1417,23,0
134,1418,22,0
135,1417,23,0
136,1419,21,0
137,1419,21,0
138,1421,19,0
139,1419,21,0
140,1417,23,0
141,1419,21,0
142,1421,19,0
143,1418,22,0
144,1418,22,0
145,1419,21,0
146,1418,22,0
147,1418,22,0
148,1418,22,0
149,1420,20,0
150,1418,22,0
151,1417,23,0
152,1420,20,0
153,1418,22,0
154,1418,22,0
155,1418,22,0
156,1420,20,0
157,1418,22,0
158,1417,23,0
159,1420,20,0
160,1417,22,1
161,1418,22,0
162,1418,22,0
163,1419,21,0
164,1419,21,0
165,1417,23,0
166,1418,22,0
167,1417,23,0
168,1418,22,0
169,1422,18,0
170,1418,22,0
171,1418,22,0
172,1418,22,0
173,1419,21,0
174,1417,23,0
175,1417,23,0
176,1418,22,0
177,1418,21,1
178,1418,22,0
179,1417,23,0
180,1417,23,0
181,1420,20,0
182,1420,20,0
183,1418,21,1
184,1419,21,0
185,1418,22,0
186,1420,20,0
187,1417,23,0
188,1418,22,0
189,1419,21,0
190,1418,22,0
191,1419,21,0
192,1419,21,0
193,1419,21,0
194,1419,20,1
195,1418,22,0
196,1418,21,1
197,1419,21,0
198,1420,20,0
199,1419,21,0
200,1417,23,0
201,1418,22,0
202,1418,22,0
203,1418,22,0
204,1417,23,0
205,1421,19,0
206,1419,21,0
207,1419,21,0
208,1419,21,0
209,1418,22,0
210,1418,22,0
211,1419,21,0
212,1420,20,0
213,1417,23,0
214,1418,22,0
215,1420,20,0
216,1417,23,0
217,1417,23,0
218,1420,20,0
219,1418,22,0
220,1418,22,0
221,1418,22,0
222,1417,23,0
223,1419,21,0
224,1420,19,1
225,1420,20,0
226,1418,22,0
227,1420,20,0
228,1418,22,0
229,1418,22,0
230,1423,17,0
231,1417,22,1
232,1418,22,0
233,1417,23,0
234,1419,21,0
235,1421,19,0
236,1420,20,0
237,1419,21,0
238,1418,22,0
239,1418,22,0
240,1418,22,0
241,1417,23,0
242,1419,21,0
243,1419,21,0
244,1420,19,1
245,1419,21,0
246,1418,22,0
247,1417,23,0
248,1417,23,0
249,1419,21,0
250,1419,21,0
251,1419,21,0
252,1418,22,0
253,1420,20,0
254,1420,20,0
255,1418,22,0
256,1418,21,1
257,1417,23,0
258,1418,22,0
259,1421,19,0
260,1419,20,1
261,1419,21,0
262,1419,21,0
263,1418,22,0
264,1419,21,0
265,1421,19,0
266,1418,22,0
267,1419,21,0
268,1418,22,0
269,1419,21,0
270,1419,21,0
271,1418,21,1
272,1417,23,0
273,1418,22,0
274,1417,23,0
275,1420,20,0
276,1422,18,0
277,1419,21,0
278,1417,23,0
279,1421,19,0
280,1422,18,0
281,1419,21,0
282,1418,21,1
283,1421,19,0
284,1418,22,0
285,1421,19,0
286,1418,22,0
287,1417,23,0
288,1418,22,0
289,1419,20,1
290,1420,20,0
291,1420,20,0
292,1420,20,0
293,1417,23,0
294,1418,22,0
295,1420,20,0
296,1417,23,0
297,1419,21,0
298,1420,20,0
299,1417,22,1
300,1420,20,0
301,1420,19,1
302,1419,20,1
303,1419,21,0
304,1418,22,0
305,1420,19,1
306,1418,22,0
307,1419,21,0
308,1419,21,0
309,1418,22,0
310,1419,21,0
311,1418,21,1
312,1418,22,0
313,1417,23,0
314,1420,20,0
315,1419,21,0
316,1418,22,0
317,1419,21,0
318,1419,21,0
319,1418,22,0
320,1418,22,0
321,1418,22,0
322,1420,20,0
323,1417,23,0
324,1420,20,0
325,1418,22,0
326,1417,22,1
327,1418,22,0
328,1420,20,0
329,1420,20,0
330,1418,21,1
331,1419,20,1
332,1420,20,0
333,1417,23,0
334,1419,21,0
335,1418,22,0
336,1417,23,0
337,1417,23,0
338,1420,20,0
339,1419,21,0
340,1418,22,0
341,1421,19,0
342,1419,20,1
343,1417,23,0
344,1421,19,0
345,1421,19,0
346,1417,23,0
347,1417,23,0
348,1421,19,0
349,1417,22,1
350,1420,20,0
351,1418,22,0
352,1419,21,0
353,1420,20,0
354,1417,23,0
355,1419,21,0
356,1417,23,0
357,1420,20,0
358,1418,22,0
359,1419,21,0
360,1418,22,0
361,1421,19,0
362,1418,22,0
363,1418,22,0
364,1419,21,0
365,1418,22,0
366,1418,22,0
367,1418,22,0
368,1418,22,0
369,1418,22,0
370,1418,22,0
371,1420,20,0
372,1418,22,0
373,1418,22,0
374,1421,19,0
375,1418,22,0
376,1418,22,0
