t,q,j,a
0,1440,0,0
1,1399,12,29
2,1005,58,377
3,800,115,525
4,792,176,472
5,795,235,410
6,804,284,352
7,806,331,303
8,810,374,256
9,807,420,213
10,805,473,162
11,825,512,103
12,841,549,50
13,866,568,6
14,880,557,3
15,906,534,0
16,926,513,1
17,942,496,2
18,971,469,0
19,988,451,1
20,1019,421,0
21,1050,389,1
22,1075,364,1
23,1100,340,0
24,1118,317,5
25,1145,291,4
26,1115,283,42
27,1021,285,134
28,887,310,243
29,818,344,278
30,832,362,246
31,823,393,224
32,832,414,194
33,837,438,165
34,834,467,139
35,855,497,88
36,887,514,39
37,911,521,8
38,948,492,0
39,973,466,1
40,988,445,7
41,967,427,46
42,943,426,71
43,930,439,71
44,919,464,57
45,884,480,76
46,890,490,60
47,911,497,32
48,933,489,18
49,943,477,20
50,960,456,24
51,970,445,25
52,976,438,26
53,1002,417,21
54,978,415,47
55,954,419,67
56,934,437,69
57,913,438,89
58,891,451,98
59,884,470,86
60,891,483,66
61,902,490,48
62,925,485,30
63,927,486,27
64,927,487,26
65,942,479,19
66,940,468,32
67,953,468,19
68,940,466,34
69,961,450,29
70,986,443,11
71,1025,414,1
72,1057,382,1
73,1071,360,9
74,1076,345,19
75,1046,341,53
76,954,348,138
77,855,375,210
78,835,406,199
79,828,440,172
80,838,464,138
81,835,493,112
82,848,531,61
83,891,527,22
84,905,520,15
85,943,496,1
86,971,468,1
87,1003,437,0
88,1043,395,2
89,1054,370,16
90,1054,358,28
91,1014,372,54
92,951,382,107
93,889,393,158
94,828,428,184
95,817,465,158
96,832,496,112
97,857,518,65
98,879,530,31
99,913,523,4
100,932,496,12
101,951,482,7
102,984,452,4
103,1009,428,3
104,1040,400,0
105,1063,372,5
106,1087,351,2
107,1092,340,8
108,1107,322,11
109,1087,319,34
110,1050,327,63
111,968,346,126
112,883,371,186
113,831,398,211
114,822,430,188
115,820,464,156
116,825,501,114
117,861,527,52
118,896,536,8
119,932,508,0
120,976,463,1
121,1000,440,0
122,1029,409,2
123,1044,388,8
124,1051,359,30
125,1010,358,72
126,923,385,132
127,853,417,170
128,828,448,164
129,827,485,128
130,850,516,74
131,884,529,27
132,934,505,1
133,956,480,4
134,976,457,7
135,990,443,7
136,1008,413,19
137,1004,393,43
138,980,393,67
139,925,409,106
140,859,433,148
141,834,465,141
142,842,492,106
143,854,518,68
144,895,524,21
145,921,518,1
146,949,490,1
147,963,465,12
148,988,442,10
149,1017,412,11
150,1038,402,0
151,1060,380,0
152,1094,344,2
153,1124,315,1
154,1125,291,24
155,1082,283,75
156,974,300,166
157,841,344,255
158,823,376,241
159,832,403,205
160,827,434,179
161,840,453,147
162,829,492,119
163,852,510,78
164,861,535,44
165,893,529,18
166,933,504,3
167,961,477,2
168,985,448,7
169,1001,421,18
170,1004,409,27
171,986,409,45
172,971,415,54
173,908,446,86
174,898,457,85
175,900,475,65
176,896,500,44
177,915,505,20
178,949,487,4
179,961,463,16
180,975,441,24
181,995,421,24
182,998,412,30
183,1004,411,25
184,1001,391,48
185,967,393,80
186,905,413,122
187,858,443,139
188,865,469,106
189,867,493,80
190,879,500,61
191,886,509,45
192,902,520,18
193,934,506,0
194,961,479,0
195,977,453,10
196,997,433,10
197,1015,422,3
198,1048,390,2
199,1030,377,33
200,1022,379,39
201,973,399,68
202,912,416,112
203,891,434,115
204,868,448,124
205,862,471,107
206,877,484,79
207,891,499,50
208,914,506,20
209,933,488,19
210,946,477,17
211,977,450,13
212,1000,436,4
213,1030,408,2
214,1068,371,1
215,1094,346,0
216,1117,323,0
217,1142,298,0
218,1168,271,1
219,1186,253,1
220,1145,251,44
221,1004,261,175
222,839,297,304
223,808,342,290
224,822,374,244
225,819,408,213
226,819,446,175
227,836,466,138
228,845,501,94
229,888,512,40
230,907,516,17
231,930,498,12
232,937,486,17
233,968,457,15
234,986,441,13
235,976,441,23
236,971,440,29
237,998,439,3
238,1014,424,2
239,1033,401,6
240,1006,388,46
241,958,398,84
242,922,418,100
243,858,449,133
244,849,474,117
245,864,495,81
246,886,513,41
247,920,501,19
248,943,480,17
249,976,461,3
250,1003,434,3
251,1000,416,24
252,993,411,36
253,966,405,69
254,949,412,79
255,902,436,102
256,887,451,102
257,884,463,93
258,877,480,83
259,872,498,70
260,895,518,27
261,916,509,15
262,952,485,3
263,976,464,0
264,1000,440,0
265,1023,417,0
266,1043,389,8
267,1034,379,27
268,1038,382,20
269,1014,373,53
270,986,382,72
271,914,404,122
272,861,427,152
273,854,456,130
274,855,485,100
275,872,508,60
276,892,506,42
277,908,505,27
278,911,503,26
279,941,495,4
280,979,457,4
281,1009,427,4
282,1033,403,4
283,1044,384,12
284,1034,373,33
285,1030,378,32
286,1053,377,10
287,1049,361,30
288,1015,356,69
289,939,375,126
290,888,398,154
291,846,421,173
292,832,455,153
293,842,478,120
294,849,502,89
295,877,522,41
296,902,527,11
297,938,497,5
298,956,475,9
299,968,456,16
300,974,447,19
301,1002,432,6
302,1011,424,5
303,1028,404,8
304,1032,392,16
305,1044,380,16
306,1047,372,21
307,1062,367,11
308,1076,363,1
309,1104,334,2
310,1127,312,1
311,1139,294,7
312,1096,290,54
313,1014,306,120
314,866,337,237
315,825,366,249
316,821,398,221
317,826,427,187
318,830,452,158
319,835,478,127
320,843,496,101
321,856,514,70
322,873,530,37
323,905,527,8
324,916,513,11
325,920,491,29
326,931,482,27
327,962,466,12
328,981,454,5
329,996,430,14
330,991,418,31
331,992,414,34
332,963,418,59
333,942,423,75
334,887,448,105
335,872,471,97
336,883,486,71
337,873,500,67
338,909,502,29
339,944,483,13
340,974,465,1
341,1013,427,0
342,1033,395,12
343,1030,387,23
344,1023,371,46
345,979,387,74
346,927,409,104
347,887,438,115
348,873,460,107
349,869,490,81
350,877,498,65
351,893,500,47
352,918,506,16
353,936,500,4
354,955,478,7
355,979,458,3
356,1001,439,0
357,1035,404,1
358,1060,379,1
359,1085,355,0
360,1100,331,9
361,1090,316,34
362,1053,313,74
363,962,337,141
364,872,361,207
365,833,398,209
366,825,432,183
367,832,461,147
368,833,495,112
369,833,531,76
370,874,542,24
371,898,536,6
372,932,508,0
373,963,477,0
374,1001,437,2
375,1022,417,1
376,1057,382,1
377,1047,367,26
378,1021,369,50
379,953,392,95
380,893,418,129
381,855,441,144
382,858,462,120
383,855,494,91
384,864,508,68
385,875,525,40
386,896,521,23
387,931,494,15
388,952,480,8
389,972,461,7
390,994,432,14
391,1025,415,0
392,1059,381,0
393,1076,363,1
394,1101,339,0
395,1126,313,1
396,1156,283,1
397,1153,270,17
398,1060,289,91
399,901,327,212
400,832,361,247
401,821,392,227
402,821,427,192
403,827,458,155
404,833,487,120
405,852,507,81
406,886,515,39
407,915,512,13
408,946,487,7
409,955,480,5
410,985,455,0
411,1020,420,0
412,1027,403,10
413,1020,391,29
414,1000,389,51
415,955,404,81
416,872,434,134
417,840,470,130
418,857,496,87
419,873,518,49
420,910,516,14
421,942,494,4
422,970,470,0
423,1005,434,1
424,1042,397,1
425,1057,371,12
426,1053,358,29
427,1046,337,57
428,925,359,156
429,844,383,213
430,830,412,198
431,834,436,170
432,836,459,145
433,843,487,110
434,857,513,70
435,878,537,25
436,909,525,6
437,928,507,5
438,956,482,2
439,980,459,1
440,997,435,8
441,1018,408,14
442,1036,392,12
443,1051,367,22
444,1023,375,42
445,1002,382,56
446,933,401,106
447,904,417,119
448,876,439,125
449,877,464,99
450,874,481,85
451,878,492,70
452,899,499,42
453,931,492,17
454,960,479,1
455,979,451,10
456,1014,419,7
457,1045,395,0
458,1066,370,4
459,1079,352,9
460,1092,335,13
461,1103,327,10
462,1086,327,27
463,1036,327,77
464,932,358,150
465,843,388,209
466,825,427,188
467,840,450,150
468,832,487,121
469,851,509,80
470,867,523,50
471,891,521,28
472,917,511,12
473,966,474,0
474,1004,435,1
475,1016,415,9
476,1023,402,15
477,1030,392,18
478,1035,384,21
479,1029,373,38
480,1004,383,53
481,928,406,106
482,864,440,136
483,846,473,121
484,854,494,92
485,869,512,59
486,901,516,23
487,923,497,20
488,942,475,23
489,964,459,17
490,978,446,16
491,1006,432,2
492,1042,398,0
493,1085,355,0
494,1095,330,15
495,1042,328,70
496,944,346,150
497,845,383,212
498,825,412,203
499,819,451,170
500,844,482,114
501,854,511,75
502,876,526,38
503,910,521,9
504,948,492,0
505,983,452,5
506,970,442,28
507,930,443,67
508,920,443,77
509,908,448,84
510,891,476,73
511,888,511,41
512,903,519,18
513,934,500,6
514,947,483,10
515,953,465,22
516,962,457,21
517,974,446,20
518,1003,437,0
519,1033,407,0
