t,q,j,a
0,1120,0,0
1,1027,16,77
2,781,63,276
3,642,114,364
4,634,168,318
5,643,216,261
6,649,261,210
7,655,302,163
8,659,343,118
9,690,357,73
10,704,389,27
11,726,386,8
12,764,355,1
13,788,331,1
14,820,300,0
15,845,274,1
16,872,248,0
17,903,217,0
18,928,192,0
19,955,165,0
20,982,138,0
21,1007,113,0
22,1038,82,0
23,1053,67,0
24,1036,51,33
25,909,71,140
26,677,116,327
27,644,159,317
28,642,206,272
29,647,247,226
30,647,290,183
31,653,327,140
32,659,367,94
33,697,393,30
34,741,378,1
35,768,351,1
36,808,312,0
37,834,286,0
38,855,265,0
39,883,236,1
40,904,216,0
41,918,194,8
42,887,183,50
43,838,179,103
44,720,202,198
45,667,226,227
46,665,253,202
47,666,284,170
48,661,315,144
49,673,338,109
50,691,358,71
51,722,375,23
52,764,356,0
53,785,335,0
54,815,304,1
55,843,277,0
56,866,253,1
57,886,233,1
58,909,211,0
59,938,182,0
60,960,160,0
61,990,130,0
62,1013,107,0
63,1023,85,12
64,958,86,76
65,781,122,217
66,653,164,303
67,654,201,265
68,653,238,229
69,652,274,194
70,649,315,156
71,648,357,115
72,689,384,47
73,724,390,6
74,744,376,0
75,764,355,1
76,800,320,0
77,831,289,0
78,859,261,0
79,890,230,0
80,919,199,2
81,942,178,0
82,961,142,17
83,884,141,95
84,761,165,194
85,652,204,264
86,664,229,227
87,656,260,204
88,674,278,168
89,658,308,154
90,666,339,115
91,694,363,63
92,740,363,17
93,769,350,1
94,798,322,0
95,833,287,0
96,856,263,1
97,875,245,0
98,901,219,0
99,923,197,0
100,947,173,0
101,977,143,0
102,1001,118,1
103,995,101,24
104,912,115,93
105,723,151,246
106,658,183,279
107,660,214,246
108,647,257,216
109,652,297,171
110,657,331,132
111,669,365,86
112,698,392,30
113,732,387,1
114,759,361,0
115,786,334,0
116,815,305,0
117,848,269,3
118,876,243,1
119,907,212,1
120,926,193,1
121,948,172,0
122,973,147,0
123,995,125,0
124,1022,98,0
125,1041,78,1
126,1059,61,0
127,1070,49,1
128,1081,38,1
129,1092,27,1
130,1099,20,1
131,1100,20,0
132,1004,33,83
133,768,84,268
134,633,142,345
135,643,188,289
136,649,225,246
137,655,261,204
138,657,301,162
139,662,334,124
140,661,379,80
141,708,403,9
142,740,380,0
143,771,347,2
144,794,325,1
145,830,290,0
146,852,268,0
147,881,239,0
148,905,213,2
149,930,189,1
150,949,170,1
151,980,140,0
152,1004,116,0
153,1032,88,0
154,1045,75,0
155,1064,56,0
156,1081,39,0
157,1071,31,18
158,916,55,149
159,692,100,328
160,634,153,333
161,636,207,277
162,639,257,224
163,647,301,172
164,651,339,130
165,675,371,74
166,698,393,29
167,727,393,0
168,755,365,0
169,788,332,0
170,813,307,0
171,840,280,0
172,865,255,0
173,886,226,8
174,892,207,21
175,843,202,75
176,811,217,92
177,738,243,139
178,689,264,167
179,671,294,155
180,676,318,126
181,684,346,90
182,701,369,50
183,721,377,22
184,758,355,7
185,785,332,3
186,807,312,1
187,824,296,0
188,854,265,1
189,882,238,0
190,900,220,0
191,928,191,1
192,948,172,0
193,988,132,0
194,1010,106,4
195,964,102,54
196,835,126,159
197,684,161,275
198,661,194,265
199,646,238,236
200,657,269,194
201,645,314,161
202,653,355,112
203,682,390,48
204,714,402,4
205,743,377,0
206,774,346,0
207,802,317,1
208,835,284,1
209,857,263,0
210,872,248,0
211,911,208,1
212,936,183,1
213,957,162,1
214,983,137,0
215,1014,106,0
216,1033,85,2
217,1049,71,0
218,1076,43,1
219,1083,36,1
220,1091,29,0
221,1065,28,27
222,891,61,168
223,673,110,337
224,634,167,319
225,647,211,262
226,643,259,218
227,642,307,171
228,655,346,119
229,675,382,63
230,723,385,12
231,743,373,4
232,767,347,6
233,787,332,1
234,821,299,0
235,852,268,0
236,873,244,3
237,890,229,1
238,914,198,8
239,864,188,68
240,779,213,128
241,694,240,186
242,666,272,182
243,682,295,143
244,693,320,107
245,678,347,95
246,687,371,62
247,714,371,35
248,734,373,13
249,771,348,1
250,797,323,0
251,824,296,0
252,857,263,0
253,878,241,1
254,904,216,0
255,925,193,2
256,960,160,0
257,983,137,0
258,1006,114,0
259,1024,95,1
260,1047,73,0
261,1047,52,21
262,910,76,134
263,685,119,316
264,644,166,310
265,648,207,265
266,649,249,222
267,646,300,174
268,658,340,122
269,683,371,66
270,716,394,10
271,740,379,1
272,780,340,0
273,803,317,0
274,849,271,0
275,869,250,1
276,887,231,2
277,912,208,0
278,941,179,0
279,971,149,0
280,994,126,0
281,1019,100,1
282,1037,81,2
283,1050,70,0
284,1069,50,1
285,1078,42,0
286,1092,28,0
287,1100,20,0
288,1098,22,0
289,1099,21,0
290,1104,16,0
291,1098,20,2
292,1097,21,2
293,962,47,111
294,664,100,356
295,642,148,330
296,640,197,283
297,645,242,233
298,651,284,185
299,652,324,144
300,675,355,90
301,704,377,39
302,724,384,12
303,755,365,0
304,787,332,1
305,818,302,0
306,844,275,1
307,870,250,0
308,902,218,0
309,936,184,0
310,960,158,2
311,969,151,0
312,999,120,1
313,1000,105,15
314,936,117,67
315,798,138,184
316,663,164,293
317,657,198,265
318,650,237,233
319,645,281,194
320,655,317,148
321,669,343,108
322,691,375,54
323,713,385,22
324,750,365,5
325,772,347,1
326,806,314,0
327,841,279,0
328,865,255,0
329,897,223,0
330,924,196,0
331,943,177,0
332,959,161,0
333,971,135,14
334,919,129,72
335,791,163,166
336,685,184,251
337,662,218,240
338,660,249,211
339,665,271,184
340,660,302,158
341,662,338,120
342,682,366,72
343,715,381,24
344,729,385,6
345,762,358,0
346,788,331,1
347,822,298,0
348,854,266,0
349,879,241,0
350,897,223,0
351,932,188,0
352,947,172,1
353,979,141,0
354,1003,117,0
355,1024,96,0
356,1040,80,0
357,1058,62,0
358,1073,47,0
359,1084,36,0
360,1094,26,0
361,1095,22,3
362,1096,21,3
363,956,42,122
364,680,92,348
365,638,142,340
366,639,193,288
367,649,234,237
368,652,273,195
369,654,311,155
370,656,347,117
371,674,376,70
372,713,389,18
373,749,371,0
374,781,338,1
375,804,316,0
376,837,283,0
377,859,261,0
378,892,227,1
379,922,198,0
380,954,166,0
381,979,141,0
382,1013,107,0
383,1030,88,2
384,1048,72,0
385,1041,64,15
386,961,76,83
387,824,106,190
388,649,156,315
389,646,199,275
390,652,237,231
391,646,281,193
392,641,331,148
393,676,365,79
394,698,388,34
395,727,382,11
396,737,372,11
397,760,355,5
398,783,335,2
399,815,305,0
400,842,278,0
401,873,245,2
402,900,219,1
403,930,186,4
404,954,165,1
405,978,142,0
406,1008,112,0
407,1031,89,0
408,1051,68,1
409,1069,51,0
410,1078,41,1
411,1086,34,0
412,1086,30,4
413,1094,26,0
414,1097,22,1
415,1089,28,3
416,1033,43,44
417,861,82,177
418,661,131,328
419,642,175,303
420,640,224,256
421,645,271,204
422,648,315,157
423,653,362,105
424,674,390,56
425,708,404,8
426,732,387,1
427,769,351,0
428,803,317,0
429,820,299,1
430,848,270,2
431,880,240,0
432,908,212,0
433,938,182,0
434,967,153,0
435,993,127,0
436,1013,103,4
437,978,99,43
438,844,121,155
439,673,155,292
440,651,193,276
441,657,228,235
442,655,261,204
443,660,296,164
444,672,333,115
445,695,363,62
446,729,372,19
447,734,371,15
448,740,356,24
449,770,348,2
450,797,323,0
451,823,297,0
