t,q,j,a
0,1440,0,0
1,1402,32,6
2,1404,35,1
3,1403,37,0
4,1403,37,0
5,1403,36,1
6,1402,38,0
7,1405,35,0
8,1405,35,0
9,1401,39,0
10,1402,38,0
11,1402,38,0
12,1405,35,0
13,1403,35,2
14,1404,36,0
15,1405,35,0
16,1403,37,0
17,1404,36,0
18,1403,37,0
19,1407,33,0
20,1404,36,0
21,1403,37,0
22,1404,36,0
23,1407,33,0
24,1405,35,0
25,1406,34,0
26,1404,36,0
27,1405,35,0
28,1407,33,0
29,1404,36,0
30,1403,37,0
31,1405,35,0
32,1405,35,0
33,1404,36,0
34,1403,37,0
35,1405,35,0
36,1404,36,0
37,1405,35,0
38,1403,37,0
39,1407,33,0
40,1403,37,0
41,1404,36,0
42,1403,37,0
43,1405,35,0
44,1409,30,1
45,1405,34,1
46,1403,37,0
47,1408,32,0
48,1404,35,1
49,1404,36,0
50,1404,36,0
51,1405,35,0
52,1403,36,1
53,1404,36,0
54,1403,37,0
55,1405,35,0
56,1404,36,0
57,1405,35,0
58,1405,35,0
59,1405,33,2
60,1405,35,0
61,1403,36,1
62,1403,37,0
63,1404,36,0
64,1404,36,0
65,1407,33,0
66,1405,35,0
67,1402,38,0
68,1406,34,0
69,1403,37,0
70,1403,37,0
71,1404,36,0
72,1407,33,0
73,1406,33,1
74,1405,34,1
75,1404,35,1
76,1405,35,0
77,1406,34,0
78,1403,36,1
79,1404,35,1
80,1405,35,0
81,1405,35,0
82,1402,38,0
83,1402,38,0
84,1407,33,0
85,1403,36,1
86,1405,34,1
87,1405,35,0
88,1403,37,0
89,1405,35,0
90,1404,36,0
91,1408,32,0
92,1403,37,0
93,1404,36,0
94,1404,36,0
95,1404,36,0
96,1403,37,0
97,1405,35,0
98,1407,32,1
99,1405,35,0
100,1404,36,0
101,1404,36,0
102,1404,36,0
103,1403,37,0
104,1404,36,0
105,1403,36,1
106,1405,35,0
107,1404,36,0
108,1402,38,0
109,1406,34,0
110,1404,36,0
111,1408,32,0
112,1405,35,0
113,1403,37,0
114,1403,37,0
115,1407,32,1
116,1406,33,1
117,1405,35,0
118,1403,37,0
119,1407,33,0
120,1405,34,1
121,1405,35,0
122,1405,35,0
123,1407,32,1
124,1406,34,0
125,1406,34,0
126,1405,35,0
127,1407,32,1
128,1403,36,1
129,1405,35,0
130,1403,37,0
131,1403,37,0
132,1402,38,0
133,1405,35,0
134,1403,37,0
135,1407,33,0
136,1405,35,0
137,1404,35,1
138,1404,36,0
139,1404,36,0
140,1404,36,0
141,1403,36,1
142,1404,36,0
143,1407,33,0
144,1405,35,0
145,1406,34,0
146,1404,36,0
147,1407,33,0
148,1402,38,0
149,1405,35,0
150,1406,34,0
151,1406,34,0
152,1404,35,1
153,1406,34,0
154,1404,35,1
155,1404,36,0
156,1403,37,0
157,1403,37,0
158,1405,35,0
159,1405,35,0
160,1407,32,1
161,1403,37,0
162,1407,33,0
163,1403,37,0
164,1409,31,0
165,1402,37,1
166,1406,34,0
167,1404,36,0
168,1404,36,0
169,1404,36,0
170,1404,36,0
171,1405,35,0
172,1403,37,0
173,1403,37,0
174,1405,35,0
175,1408,30,2
176,1406,34,0
177,1408,32,0
178,1404,35,1
179,1404,36,0
180,1406,34,0
181,1403,37,0
182,1405,35,0
183,1404,36,0
184,1404,36,0
185,1404,36,0
186,1402,38,0
187,1405,35,0
188,1405,35,0
189,1405,35,0
190,1404,36,0
191,1406,34,0
192,1404,35,1
193,1405,35,0
194,1409,31,0
195,1403,36,1
196,1405,35,0
197,1404,36,0
198,1409,31,0
199,1407,32,1
200,1405,35,0
201,1404,36,0
202,1403,36,1
203,1405,35,0
204,1407,33,0
205,1403,35,2
206,1404,36,0
207,1403,37,0
208,1403,37,0
209,1407,33,0
