t,q,j,a
0,1120,0,0
1,771,24,325
2,690,72,358
3,677,121,322
4,673,170,277
5,676,205,239
6,678,233,209
7,677,266,177
8,682,292,146
9,677,317,126
10,681,335,104
11,677,354,89
12,686,359,75
13,687,357,76
14,689,360,71
15,691,361,68
16,702,348,70
17,695,350,75
18,700,341,79
19,704,333,83
20,700,337,83
21,694,335,91
22,693,334,93
23,700,331,89
24,704,320,96
25,696,319,105
26,701,313,106
27,697,313,110
28,705,299,116
29,708,288,124
30,703,287,130
31,702,288,130
32,700,294,126
33,700,289,131
34,698,287,135
35,698,289,133
36,697,290,133
37,694,301,125
38,695,310,115
39,699,311,110
40,697,315,108
41,706,318,96
42,709,307,104
43,697,314,109
44,697,318,105
45,689,327,104
46,698,323,99
47,695,328,97
48,703,327,90
49,703,334,83
50,703,333,84
51,700,340,80
52,697,340,83
53,692,337,91
54,700,334,86
55,699,334,87
56,697,337,86
57,708,322,90
58,704,321,95
59,702,326,92
60,715,310,95
61,693,315,112
62,699,312,109
63,695,317,108
64,693,320,107
65,694,327,99
66,699,324,97
67,695,325,100
68,700,322,98
69,703,319,98
70,690,331,99
71,697,325,98
72,697,328,95
73,695,326,99
74,713,317,90
75,710,304,106
76,704,308,108
77,694,318,108
78,701,317,102
79,697,323,100
80,705,320,95
81,699,326,95
82,690,337,93
83,694,336,90
84,699,334,87
85,688,338,94
86,699,338,83
87,706,328,86
88,700,328,92
89,697,321,102
90,691,327,102
91,691,334,95
92,692,333,95
93,703,330,87
94,703,326,91
95,698,327,95
96,696,327,97
97,689,328,103
98,700,325,95
99,698,314,108
100,695,312,113
101,691,315,114
102,689,325,106
103,689,329,102
104,697,326,97
105,694,328,98
106,705,314,101
107,695,322,103
108,689,327,104
109,688,334,98
110,699,326,95
111,699,320,101
112,694,319,107
113,700,319,101
114,689,330,101
115,703,323,94
116,697,322,101
117,709,315,96
118,703,316,101
119,697,320,103
120,696,324,100
121,700,329,91
122,701,326,93
123,706,322,92
124,703,322,95
125,697,325,98
126,692,339,89
127,697,332,91
128,699,331,90
129,701,330,89
130,699,329,92
131,695,328,97
132,700,332,88
133,698,327,95
134,703,324,93
135,700,321,99
136,695,324,101
137,704,313,103
138,703,304,113
139,700,305,115
140,705,301,114
141,704,299,117
142,697,302,121
143,698,307,115
144,692,307,121
145,703,308,109
146,704,304,112
147,698,308,114
148,695,311,114
149,703,312,105
150,698,319,103
151,701,316,103
152,691,324,105
153,688,336,96
154,692,338,90
155,698,339,83
156,718,320,82
157,707,315,98
158,704,314,102
159,707,313,100
160,704,312,104
161,700,317,103
162,700,318,102
163,702,316,102
164,699,313,108
165,694,322,104
166,699,329,92
167,701,326,93
168,696,324,100
169,687,334,99
170,696,332,92
171,697,331,92
172,702,332,86
173,701,318,101
174,696,325,99
175,703,311,106
176,709,300,111
177,717,295,108
178,704,299,117
179,694,306,120
180,698,311,111
181,694,313,113
182,702,318,100
183,701,315,104
184,696,315,109
185,704,315,101
186,706,313,101
187,692,320,108
188,701,319,100
189,700,320,100
190,696,324,100
191,698,325,97
192,694,324,102
193,690,334,96
194,697,330,93
195,696,332,92
196,696,328,96
197,691,330,99
198,695,322,103
199,689,330,101
200,689,339,92
201,701,326,93
202,698,325,97
203,698,322,100
204,703,320,97
205,713,321,86
206,701,327,92
207,692,331,97
