t,q,j,a
0,1440,0,0
1,284,61,1095
2,185,121,1134
3,188,178,1074
4,190,233,1017
5,195,282,963
6,197,329,914
7,199,374,867
8,192,426,822
9,196,472,772
10,201,513,726
11,212,545,683
12,205,585,650
13,211,618,611
14,219,642,579
15,199,687,554
16,218,712,510
17,219,737,484
18,219,760,461
19,221,783,436
20,230,795,415
21,216,824,400
22,218,850,372
23,246,849,345
24,248,845,347
25,230,858,352
26,232,871,337
27,244,872,324
28,245,871,324
29,251,865,324
30,228,880,332
31,254,871,315
32,253,863,324
33,244,864,332
34,230,876,334
35,258,862,320
36,252,853,335
37,250,847,343
38,241,850,349
39,237,858,345
40,247,855,338
41,236,864,340
42,246,860,334
43,249,854,337
44,259,839,342
45,251,832,357
46,248,828,364
47,239,834,367
48,242,837,361
49,230,852,358
50,235,861,344
51,225,881,334
52,247,879,314
53,258,865,317
54,240,868,332
55,236,877,327
56,239,882,319
57,239,888,313
58,235,896,309
59,243,896,301
60,250,889,301
61,246,887,307
62,249,881,310
63,261,864,315
64,238,871,331
65,248,868,324
66,236,877,327
67,252,867,321
68,237,875,328
69,256,864,320
70,226,880,334
71,245,880,315
72,256,868,316
73,248,865,327
74,237,871,332
75,250,866,324
76,252,859,329
77,241,861,338
78,246,859,335
79,237,866,337
80,240,871,329
81,241,875,324
82,235,884,321
83,250,877,313
84,230,891,319
85,255,881,304
86,245,880,315
87,255,870,315
88,247,866,327
89,250,861,329
90,233,872,335
91,239,876,325
92,237,883,320
93,246,882,312
94,229,898,313
95,229,914,297
96,248,908,284
97,251,902,287
98,252,895,293
99,242,894,304
100,244,895,301
101,243,895,302
102,241,899,300
103,254,890,296
104,243,892,305
105,239,896,305
106,241,899,300
107,242,901,297
108,246,899,295
109,242,901,297
110,259,887,294
111,245,887,308
112,262,870,308
113,256,858,326
114,241,862,337
115,243,861,336
116,240,865,335
117,250,859,331
118,235,867,338
119,249,863,328
120,249,859,332
121,251,853,336
122,248,848,344
123,235,858,347
124,248,852,340
125,244,853,343
126,238,859,343
127,244,860,336
128,256,847,337
129,238,853,349
130,243,853,344
131,257,839,344
132,250,834,356
133,243,836,361
134,237,844,359
135,239,847,354
136,247,845,348
137,255,834,351
138,243,835,362
139,245,835,360
140,244,833,363
141,235,841,364
142,233,853,354
143,246,852,342
144,243,854,343
145,259,840,341
146,230,854,356
147,233,866,341
148,237,873,330
149,246,872,322
150,252,864,324
151,252,857,331
152,248,854,338
153,255,844,341
154,236,851,353
155,241,852,347
156,247,849,344
157,246,848,346
158,251,842,347
159,256,830,354
160,240,833,367
161,238,840,362
162,235,849,356
163,233,861,346
164,235,869,336
165,243,870,327
166,232,883,325
167,248,879,313
168,232,891,317
169,233,903,304
170,240,906,294
171,254,896,290
172,233,908,299
173,254,897,289
174,250,890,300
175,253,882,305
176,237,889,314
177,243,890,307
178,250,885,305
179,242,888,310
180,246,887,307
181,247,884,309
182,238,891,311
183,238,898,304
184,251,892,297
185,247,889,304
186,245,887,308
187,248,884,308
188,242,886,312
189,234,896,310
190,248,892,300
191,234,903,303
192,250,898,292
193,239,902,299
194,249,898,293
195,248,895,297
196,239,901,300
197,268,876,296
198,245,876,319
199,235,886,319
200,240,890,310
201,246,888,306
202,242,891,307
203,247,889,304
204,238,895,307
205,242,898,300
206,253,889,298
207,254,880,306
208,234,889,317
209,241,892,307
210,244,893,303
211,239,899,302
212,240,901,299
213,250,895,295
214,253,886,301
215,247,882,311
216,244,878,318
217,247,875,318
218,245,875,320
219,245,875,320
220,249,869,322
221,247,866,327
222,244,867,329
223,239,870,331
224,252,861,327
225,248,858,334
226,253,850,337
227,234,860,346
228,259,844,337
229,236,852,352
230,243,853,344
231,250,848,342
232,241,850,349
233,247,847,346
234,250,840,350
235,251,832,357
236,235,842,363
237,237,849,354
238,228,866,346
239,235,875,330
240,241,876,323
241,256,865,319
242,237,872,331
243,245,871,324
244,239,874,327
245,228,891,321
246,262,874,304
247,248,871,321
248,248,866,326
249,234,876,330
250,249,871,320
251,244,871,325
252,243,871,326
253,242,873,325
254,243,873,324
255,252,866,322
256,240,869,331
257,245,869,326
258,246,868,326
259,240,872,328
260,255,862,323
261,238,866,336
262,236,875,329
263,260,859,321
264,243,860,337
265,235,868,337
266,240,871,329
267,242,871,327
268,241,875,324
269,256,864,320
270,248,860,332
271,245,860,335
272,253,851,336
273,237,855,348
274,237,860,343
275,245,860,335
276,240,864,336
277,250,856,334
278,237,864,339
279,232,877,331
280,257,865,318
281,241,868,331
282,242,871,327
283,233,882,325
284,248,878,314
285,246,875,319
286,253,867,320
287,244,868,328
288,246,864,330
289,252,857,331
290,254,846,340
291,235,855,350
292,243,856,341
293,242,858,340
294,233,870,337
295,256,858,326
296,249,854,337
297,241,857,342
298,239,862,339
299,233,873,334
300,236,882,322
301,251,876,313
302,239,882,319
303,245,882,313
304,241,886,313
305,243,888,309
306,236,895,309
307,236,901,303
308,248,898,294
309,254,886,300
310,243,888,309
311,255,877,308
312,263,858,319
313,240,860,340
314,241,861,338
315,245,860,335
316,240,865,335
317,251,858,331
318,236,865,339
319,240,869,331
320,248,865,327
321,240,868,332
322,247,865,328
323,236,873,331
324,253,864,323
325,236,871,333
326,244,872,324
327,244,873,323
328,251,866,323
329,240,871,329
330,254,862,324
331,251,855,334
332,252,847,341
333,238,854,348
334,240,856,344
335,255,846,339
336,244,846,350
337,250,839,351
338,250,832,358
339,250,827,363
340,240,832,368
341,230,845,365
342,258,832,350
343,245,829,366
344,238,833,369
345,234,844,362
346,238,849,353
347,250,843,347
348,246,840,354
349,246,839,355
350,231,852,357
351,242,853,345
352,240,856,344
353,243,857,340
354,237,862,341
355,236,868,336
356,230,882,328
357,241,886,313
358,235,895,310
359,247,893,300
360,255,882,303
361,241,885,314
362,239,890,311
363,259,876,305
364,236,883,321
365,256,872,312
366,253,864,323
367,249,859,332
368,244,860,336
369,251,854,335
370,242,855,343
371,244,854,342
372,244,852,344
373,242,854,344
374,248,849,343
375,250,843,347
376,254,832,354
377,238,837,365
378,239,842,359
379,239,847,354
380,253,839,348
381,234,849,357
382,244,849,347
383,243,851,346
384,245,851,344
385,218,878,344
386,233,889,318
387,247,887,306
388,238,893,309
389,240,898,302
390,255,888,297
391,241,892,307
392,261,875,304
393,242,878,320
394,236,886,318
395,249,880,311
396,260,863,317
397,234,874,332
398,250,868,322
399,249,862,329
400,228,879,333
401,241,882,317
402,253,873,314
403,244,873,323
404,250,868,322
405,241,871,328
406,252,860,328
407,238,866,336
408,244,866,330
409,244,867,329
410,239,872,329
411,239,877,324
412,237,884,319
413,238,891,311
414,239,897,304
415,245,896,299
416,244,897,299
417,253,889,298
418,237,897,306
419,252,889,299
420,245,888,307
421,249,880,311
422,231,894,315
423,238,899,303
424,258,885,297
425,243,885,312
426,254,874,312
427,231,885,324
428,252,874,314
429,240,878,322
430,248,872,320
431,248,869,323
432,249,863,328
433,258,848,334
434,234,858,348
435,243,860,337
436,237,865,338
437,249,860,331
438,238,867,335
439,249,861,330
440,233,873,334
441,238,879,323
442,242,881,317
443,239,887,314
444,250,881,309
445,245,878,317
446,257,865,318
447,245,865,330
448,234,873,333
449,251,862,327
450,243,863,334
451,237,871,332
452,247,866,327
453,244,866,330
454,231,879,330
455,255,866,319
456,246,864,330
457,233,876,331
458,249,871,320
459,247,867,326
460,244,867,329
461,243,868,329
462,233,880,327
463,242,881,317
464,235,891,314
465,267,866,307
466,234,876,330
467,244,875,321
468,247,872,321
469,241,874,325
470,251,867,322
471,239,872,329
472,247,870,323
473,259,856,325
474,241,860,339
475,243,860,337
476,236,867,337
477,232,878,330
478,248,875,317
479,233,886,321
480,241,890,309
481,246,887,307
482,243,888,309
483,236,897,307
484,242,898,300
485,248,893,299
486,229,906,305
487,243,907,290
488,250,899,291
489,246,898,296
490,247,896,297
491,254,887,299
492,241,890,309
493,249,884,307
494,256,872,312
495,243,874,323
496,254,864,322
497,250,859,331
498,245,859,336
499,249,855,336
500,250,848,342
501,241,850,349
502,251,843,346
503,255,830,355
504,225,848,367
505,242,849,349
506,245,849,346
507,239,853,348
508,239,858,343
509,236,864,340
510,238,868,334
511,235,877,328
512,262,859,319
513,237,867,336
514,245,866,329
515,251,860,329
516,252,853,335
517,231,867,342
518,246,866,328
519,233,878,329
520,251,871,318
521,246,869,325
522,259,854,327
523,251,847,342
524,237,854,349
525,248,851,341
526,247,845,348
527,244,845,351
528,238,852,350
529,240,856,344
530,239,860,341
531,249,856,335
532,220,878,342
533,239,883,318
534,246,881,313
535,245,880,315
536,240,884,316
537,245,883,312
538,238,890,312
539,243,890,307
540,228,906,306
541,259,890,291
542,249,885,306
543,249,881,310
544,252,873,315
545,259,857,324
546,245,856,339
547,243,857,340
548,244,857,339
549,252,848,340
550,237,855,348
551,242,858,340
552,236,867,337
553,252,860,328
554,255,849,336
555,229,863,348
556,237,870,333
557,259,856,325
558,235,866,339
559,240,871,329
560,249,866,325
561,249,861,330
562,253,852,335
563,248,847,345
564,239,853,348
565,245,850,345
566,231,864,345
567,247,862,331
568,244,863,333
569,249,859,332
570,237,867,336
571,241,870,329
572,241,873,326
573,241,876,323
574,247,873,320
575,249,867,324
576,252,859,329
577,237,866,337
578,237,874,329
579,241,876,323
580,245,871,324
581,252,863,325
582,236,870,334
583,237,878,325
584,239,881,320
585,245,878,317
586,253,869,318
587,258,855,327
588,260,840,340
589,238,846,356
590,239,851,350
591,232,864,344
592,239,870,331
593,244,870,326
594,239,874,327
595,245,874,321
596,240,878,322
597,244,879,317
598,236,888,316
599,254,879,307
600,255,868,317
601,238,872,330
602,228,889,323
603,251,881,308
604,244,881,315
605,233,891,316
606,236,900,304
607,253,891,296
608,252,883,305
609,238,889,313
610,244,889,307
611,229,904,307
612,236,913,291
613,266,890,284
614,262,872,306
615,242,874,324
616,251,868,321
617,240,872,328
618,257,859,324
619,248,856,336
620,239,860,341
621,242,860,338
622,241,862,337
623,253,854,333
624,241,858,341
625,257,844,339
626,244,843,353
627,248,838,354
628,244,837,359
629,230,851,359
630,236,857,347
631,251,851,338
632,249,844,347
633,244,845,351
634,254,835,351
635,243,836,361
636,240,840,360
637,241,843,356
638,242,845,353
639,238,852,350
640,248,847,345
641,247,844,349
642,248,841,351
643,258,828,354
644,241,832,367
645,246,829,365
646,252,822,366
647,220,844,376
648,237,851,352
649,244,851,345
650,251,844,345
651,247,842,351
652,242,844,354
653,242,846,352
654,223,867,350
655,233,878,329
656,245,877,318
657,244,878,318
658,240,882,318
659,245,882,313
660,249,877,314
661,234,885,321
662,253,877,310
663,246,876,318
664,235,885,320
665,259,870,311
666,249,865,326
667,232,876,332
668,251,868,321
669,245,867,328
670,248,863,329
671,239,868,333
672,240,873,327
673,256,859,325
674,252,852,336
675,251,845,344
676,232,858,350
677,243,858,339
678,246,857,337
679,240,861,339
680,235,868,337
681,243,870,327
682,258,856,326
683,260,839,341
684,246,837,357
685,234,846,360
686,240,850,350
687,241,853,346
688,238,859,343
689,264,838,338
690,241,840,359
691,245,839,356
692,233,848,359
693,240,853,347
694,248,850,342
695,247,847,346
696,244,848,348
697,245,848,347
698,236,855,349
699,249,850,341
700,231,864,345
701,241,868,331
702,235,876,329
703,253,868,319
704,234,879,327
705,244,879,317
706,243,878,319
707,238,885,317
708,243,887,310
709,247,884,309
710,253,876,311
711,234,885,321
712,238,891,311
713,253,881,306
714,249,875,316
715,246,873,321
716,224,892,324
717,233,904,303
718,248,900,292
719,243,900,297
720,257,887,296
721,251,880,309
722,247,877,316
723,255,866,319
724,241,869,330
725,243,870,327
726,246,869,325
727,258,853,329
728,243,853,344
729,246,851,343
730,245,849,346
731,250,844,346
732,251,836,353
733,244,837,359
734,241,841,358
735,225,860,355
736,229,875,336
737,250,870,320
738,235,880,325
739,240,884,316
740,241,888,311
741,239,893,308
