t,q,j,a
0,1120,0,0
1,248,58,814
2,152,119,849
3,161,171,788
4,162,221,737
5,160,273,687
6,162,324,634
7,171,365,584
8,172,403,545
9,168,446,506
10,167,491,462
11,170,532,418
12,176,566,378
13,179,597,344
14,176,633,311
15,178,666,276
16,181,697,242
17,185,725,210
18,202,735,183
19,191,756,173
20,188,781,151
21,199,799,122
22,200,820,100
23,232,828,60
24,245,828,47
25,276,815,29
26,303,807,10
27,336,779,5
28,375,743,2
29,398,713,9
30,433,684,3
31,440,673,7
32,481,639,0
33,490,609,21
34,403,613,104
35,270,618,232
36,211,620,289
37,209,622,289
38,204,630,286
39,203,639,278
40,197,654,269
41,198,668,254
42,203,677,240
43,201,688,231
44,216,683,221
45,209,686,225
46,199,697,224
47,184,725,211
48,205,733,182
49,200,744,176
50,199,762,159
51,201,777,142
52,211,784,125
53,216,800,104
54,234,809,77
55,249,812,59
56,263,808,49
57,268,810,42
58,310,796,14
59,328,779,13
60,318,750,52
61,322,744,54
62,344,726,50
63,304,716,100
64,251,718,151
65,211,730,179
66,196,747,177
67,209,750,161
68,203,760,157
69,220,758,142
70,210,768,142
71,193,794,133
72,214,795,111
73,243,781,96
74,226,786,108
75,231,794,95
76,246,791,83
77,231,791,98
78,207,805,108
79,221,812,87
80,237,818,65
81,258,814,48
82,272,814,34
83,275,815,30
84,302,806,12
85,328,778,14
86,359,751,10
87,389,724,7
88,412,705,3
89,458,655,7
90,482,627,11
91,479,605,36
92,368,613,139
93,232,620,268
94,198,634,288
95,192,654,274
96,196,671,253
97,206,677,237
98,203,685,232
99,189,709,222
100,193,727,200
101,194,745,181
102,202,754,164
103,206,762,152
104,198,782,140
105,208,795,117
106,235,789,96
107,228,794,98
108,215,804,101
109,212,823,85
110,216,848,56
111,245,841,34
112,278,829,13
113,318,790,12
114,344,769,7
115,356,750,14
116,389,729,2
117,413,701,6
118,430,677,13
119,471,644,5
120,483,612,25
121,393,605,122
122,245,618,257
123,207,625,288
124,215,621,284
125,204,628,288
126,210,629,281
127,209,632,279
128,191,654,275
129,203,662,255
130,198,677,245
131,209,680,231
132,199,693,228
133,192,714,214
134,192,733,195
135,211,736,173
136,212,740,168
137,190,764,166
138,203,777,140
139,197,796,127
140,221,805,94
141,226,814,80
142,244,822,54
143,261,817,42
144,270,811,39
145,276,807,37
146,300,803,17
147,345,767,8
148,356,741,23
149,356,726,38
150,335,720,65
151,252,732,136
152,227,733,160
153,214,742,164
154,214,745,161
155,217,743,160
156,213,745,162
157,208,755,157
158,207,757,156
159,220,753,147
160,218,751,151
161,202,763,155
162,214,759,147
163,202,770,148
164,206,777,137
165,218,775,127
166,206,787,127
167,217,794,109
168,243,786,91
169,240,794,86
170,251,792,77
171,240,801,79
172,249,808,63
173,246,814,60
174,241,814,65
175,266,811,43
176,266,810,44
177,292,797,31
178,315,777,28
179,332,760,28
180,336,739,45
181,300,739,81
182,268,735,117
183,224,739,157
184,193,759,168
185,191,780,149
186,224,775,121
187,215,783,122
188,232,781,107
189,237,791,92
190,256,778,86
191,215,789,116
192,223,790,107
193,235,789,96
194,219,796,105
195,224,809,87
196,219,824,77
197,213,849,58
198,254,848,18
199,284,828,8
200,318,794,8
201,359,757,4
202,369,726,25
203,353,710,57
204,306,715,99
205,248,723,149
206,208,737,175
207,218,736,166
208,193,758,169
209,216,759,145
210,213,772,135
211,210,777,133
212,207,787,126
213,220,792,108
214,224,797,99
215,237,801,82
216,249,799,72
217,255,798,67
218,231,813,76
219,251,818,51
220,296,814,10
221,323,788,9
222,372,747,1
223,380,726,14
224,397,703,20
225,352,702,66
226,287,716,117
227,224,716,180
228,200,728,192
229,192,750,178
230,218,748,154
231,227,744,149
232,215,758,147
233,230,754,136
234,222,756,142
235,212,761,147
236,215,759,146
237,219,758,143
238,200,772,148
239,210,777,133
240,210,785,125
241,207,794,119
242,219,796,105
243,213,805,102
244,215,815,90
245,250,801,69
246,243,804,73
247,240,816,64
248,217,841,62
249,260,824,36
250,286,809,25
251,333,781,6
252,366,744,10
253,359,728,33
254,348,737,35
255,344,726,50
256,305,725,90
257,268,733,119
258,226,736,158
259,214,744,162
260,217,745,158
261,197,761,162
262,218,755,147
263,206,762,152
264,238,740,142
265,205,751,164
266,216,751,153
267,204,761,155
268,209,771,140
269,217,776,127
270,209,785,126
271,211,793,116
272,225,802,93
273,220,816,84
274,263,807,50
275,260,804,56
276,265,810,45
277,292,810,18
278,305,803,12
279,327,783,10
280,332,775,13
281,383,735,2
282,412,704,4
283,447,667,6
284,461,651,8
285,463,644,13
286,492,614,14
287,452,604,64
288,283,611,226
289,192,632,296
290,208,637,275
291,204,645,271
292,206,652,262
293,193,669,258
294,202,677,241
295,200,689,231
296,200,700,220
297,203,708,209
298,211,711,198
299,193,731,196
300,204,740,176
301,198,756,166
302,195,774,151
303,205,785,130
304,227,782,111
305,213,795,112
306,227,797,96
307,233,802,85
308,246,802,72
309,256,795,69
310,239,808,73
311,239,816,65
312,235,817,68
313,268,793,59
314,288,787,45
315,314,772,34
316,323,770,27
317,315,753,52
318,296,752,72
319,264,753,103
320,214,765,141
321,222,763,135
322,222,763,135
323,212,779,129
324,227,785,108
325,220,785,115
326,219,795,106
327,224,806,90
328,232,811,77
329,254,809,57
330,244,831,45
331,263,829,28
332,281,821,18
333,315,791,14
334,365,749,6
335,386,722,12
336,374,701,45
337,312,689,119
338,217,694,209
339,205,706,209
340,203,716,201
341,203,725,192
342,206,729,185
343,209,731,180
344,209,740,171
345,212,747,161
346,212,751,157
347,191,772,157
348,203,782,135
349,208,791,121
350,228,791,101
351,236,787,97
352,246,791,83
353,228,807,85
354,235,816,69
355,248,819,53
356,279,805,36
357,300,790,30
358,334,780,6
359,349,766,5
360,390,724,6
361,406,704,10
362,400,688,32
363,381,679,60
364,283,693,144
365,254,697,169
366,201,710,209
367,200,723,197
368,191,744,185
369,201,756,163
370,207,762,151
371,221,754,145
372,216,752,152
373,207,760,153
374,204,767,149
375,199,781,140
376,208,786,126
377,216,791,113
378,193,821,106
379,225,832,63
380,247,832,41
381,262,834,24
382,295,811,14
383,304,799,17
384,330,782,8
385,352,750,18
386,389,727,4
387,390,707,23
388,359,694,67
389,275,699,146
390,212,703,205
391,221,701,198
392,225,690,205
393,216,688,216
394,202,698,220
395,196,712,212
396,212,711,197
397,211,712,197
398,215,709,196
399,205,716,199
400,205,725,190
401,193,741,186
402,189,765,166
403,208,771,141
404,209,780,131
405,205,794,121
406,226,794,100
407,222,803,95
408,230,807,83
409,232,810,78
410,243,803,74
411,247,803,70
412,256,811,53
413,265,815,40
414,292,806,22
415,303,789,28
416,335,762,23
417,380,730,10
418,382,722,16
419,404,699,17
420,443,675,2
421,461,648,11
422,493,624,3
423,501,597,22
424,450,589,81
425,288,595,237
426,209,599,312
427,193,617,310
428,190,638,292
429,204,647,269
430,205,653,262
431,197,668,255
432,204,675,241
433,190,698,232
434,195,718,207
435,199,731,190
436,209,736,175
437,198,749,173
438,214,750,156
439,190,773,157
440,209,779,132
441,202,799,119
442,213,805,102
443,215,815,90
444,215,830,75
445,248,827,45
446,278,816,26
447,315,791,14
448,324,766,30
449,308,775,37
450,339,771,10
451,364,745,11
452,379,723,18
453,388,695,37
454,355,684,81
455,269,694,157
456,227,692,201
457,210,696,214
458,192,717,211
459,202,727,191
460,207,732,181
461,211,736,173
462,216,737,167
463,209,746,165
464,202,761,157
465,219,763,138
466,222,775,123
467,245,771,104
468,227,783,110
469,253,769,98
470,218,784,118
471,216,800,104
472,233,804,83
473,222,819,79
474,251,815,54
475,264,827,29
476,297,805,18
477,322,791,7
478,361,752,7
479,386,722,12
480,401,707,12
481,408,691,21
482,398,679,43
483,328,687,105
484,225,694,201
485,211,695,214
486,196,712,212
487,213,715,192
488,208,727,185
489,204,743,173
490,201,756,163
491,209,768,143
492,222,778,120
493,231,783,106
494,260,772,88
495,237,786,97
496,243,782,95
497,237,787,96
498,226,792,102
499,226,800,94
500,228,808,84
501,242,802,76
502,225,818,77
503,248,822,50
504,298,804,18
505,313,793,14
506,340,772,8
507,364,748,8
508,389,725,6
509,411,693,16
510,397,663,60
511,331,659,130
512,212,682,226
513,203,691,226
514,207,698,215
515,201,709,210
516,210,710,200
517,221,702,197
518,202,714,204
519,200,725,195
520,211,728,181
521,209,732,179
522,203,743,174
523,206,751,163
524,198,769,153
525,204,779,137
526,207,801,112
527,220,809,91
528,218,832,70
529,245,833,42
530,286,810,24
531,307,802,11
532,322,783,15
533,328,772,20
534,355,753,12
535,382,735,3
536,412,706,2
537,439,676,5
538,435,647,38
539,342,645,133
540,214,646,260
541,199,660,261
542,202,671,247
543,215,668,237
544,196,684,240
545,213,683,224
546,195,700,225
547,205,708,207
548,198,722,200
549,208,727,185
550,205,734,181
551,211,735,174
552,194,756,170
553,198,771,151
554,205,781,134
555,204,793,123
556,222,792,106
557,220,791,109
558,197,809,114
559,219,810,91
560,225,816,79
561,231,828,61
562,251,833,36
563,281,819,20
564,297,794,29
565,314,786,20
566,345,758,17
567,369,747,4
568,399,718,3
569,412,699,9
570,430,672,18
571,422,646,52
572,355,649,116
573,250,653,217
574,210,655,255
575,197,670,253
576,196,686,238
577,196,703,221
578,209,706,205
579,213,706,201
580,194,725,201
581,203,735,182
582,201,748,171
583,197,764,159
584,216,762,142
585,233,759,128
586,206,778,136
587,210,783,127
588,200,801,119
589,209,817,94
590,230,826,64
591,249,828,43
592,285,817,18
593,312,799,9
594,337,779,4
595,367,750,3
596,395,718,7
597,416,697,7
598,409,671,40
599,296,669,155
600,219,674,227
601,199,687,234
602,210,689,221
603,203,701,216
604,206,712,202
605,206,719,195
606,198,733,189
607,199,746,175
608,216,746,158
609,218,751,151
610,213,767,140
611,223,763,134
612,206,774,140
613,213,784,123
614,221,797,102
615,228,805,87
616,233,809,78
617,238,816,66
618,252,805,63
619,254,807,59
620,281,800,39
621,260,807,53
622,264,787,69
623,254,794,72
624,272,790,58
625,279,802,39
626,312,788,20
627,306,760,54
628,303,744,73
629,265,741,114
630,211,750,159
631,205,763,152
632,223,761,136
633,215,761,144
634,216,758,146
635,211,761,148
636,230,749,141
637,201,763,156
638,213,767,140
639,213,782,125
640,222,787,111
641,213,806,101
642,219,814,87
643,242,813,65
644,263,808,49
645,283,801,36
646,324,789,7
647,339,768,13
648,333,749,38
649,293,753,74
650,300,760,60
651,300,752,68
652,278,751,91
653,256,751,113
654,224,767,129
655,206,775,139
656,210,782,128
657,213,796,111
658,243,791,86
659,253,781,86
660,249,785,86
661,224,798,98
662,215,811,94
663,230,810,80
664,226,823,71
665,244,824,52
666,278,818,24
667,321,780,19
668,297,768,55
669,302,761,57
670,292,758,70
671,238,765,117
672,205,783,132
673,225,778,117
674,206,793,121
675,221,803,96
676,230,815,75
677,255,818,47
678,266,816,38
679,301,786,33
680,309,772,39
681,304,763,53
682,277,766,77
683,233,779,108
684,238,778,104
685,224,784,112
686,236,780,104
687,232,786,102
688,246,789,85
689,248,802,70
690,241,808,71
691,251,800,69
692,275,795,50
693,274,808,38
694,272,794,54
695,298,781,41
696,316,768,36
697,319,761,40
698,314,753,53
699,277,776,67
700,275,777,68
701,300,752,68
702,278,744,98
703,223,744,153
704,195,763,162
705,214,765,141
706,202,775,143
707,211,780,129
708,224,780,116
709,216,780,124
710,209,794,117
711,212,799,109
712,214,813,93
713,229,822,69
714,265,814,41
715,280,814,26
716,309,786,25
717,301,774,45
718,284,774,62
719,294,769,57
720,290,765,65
721,282,766,72
722,261,777,82
723,258,780,82
724,256,782,82
725,242,784,94
726,250,774,96
727,239,769,112
728,225,784,111
729,235,798,87
730,251,808,61
731,258,807,55
732,282,806,32
733,302,791,27
734,311,771,38
735,328,748,44
736,312,739,69
737,275,747,98
738,242,742,136
739,227,748,145
740,238,739,143
741,223,746,151
742,222,740,158
743,208,753,159
