t,q,j,a
0,1120,0,0
1,1046,0,74
2,758,0,362
3,630,0,490
4,624,0,496
5,625,0,495
6,627,0,493
7,629,0,491
8,634,0,486
9,628,0,492
10,621,0,499
11,628,0,492
12,624,0,496
13,630,0,490
14,625,0,495
15,630,0,490
16,633,0,487
17,623,0,497
18,624,0,496
19,632,0,488
20,631,0,489
21,625,0,495
22,627,0,493
23,628,0,492
24,627,0,493
25,630,0,490
26,621,0,499
27,625,0,495
28,626,0,494
29,624,0,496
30,636,0,484
31,629,0,491
32,630,0,490
33,627,0,493
34,632,0,488
35,626,0,494
36,627,0,493
37,626,0,494
38,626,0,494
39,627,0,493
40,624,0,496
41,627,0,493
42,627,0,493
43,626,0,494
44,627,0,493
45,623,0,497
46,626,0,494
47,627,0,493
48,631,0,489
49,625,0,495
50,630,0,490
51,636,0,484
52,628,0,492
53,625,0,495
54,625,0,495
55,622,0,498
56,632,0,488
57,624,0,496
58,630,0,490
59,628,0,492
60,634,0,486
61,623,0,497
62,624,0,496
63,628,0,492
64,632,0,488
65,633,0,487
66,628,0,492
67,630,0,490
68,620,0,500
69,621,0,499
70,630,0,490
71,629,0,491
72,623,0,497
73,631,0,489
74,627,0,493
75,633,0,487
76,631,0,489
77,633,0,487
78,635,0,485
79,629,0,491
80,628,0,492
81,636,0,484
82,622,0,498
83,633,0,487
84,624,0,496
85,625,0,495
86,628,0,492
87,629,0,491
88,629,0,491
89,632,0,488
90,630,0,490
91,625,0,495
92,637,0,483
93,625,0,495
94,624,0,496
95,631,0,489
96,630,0,490
97,635,0,485
98,623,0,497
99,632,0,488
100,630,0,490
101,623,0,497
102,622,0,498
103,625,0,495
104,627,0,493
105,628,0,492
106,626,0,494
107,635,0,485
108,633,0,487
109,624,0,496
110,625,0,495
111,632,0,488
112,631,0,489
113,628,0,492
114,624,0,496
115,627,0,493
116,628,0,492
117,620,0,500
118,627,0,493
119,627,0,493
120,625,0,495
121,631,0,489
122,624,0,496
123,627,0,493
124,626,0,494
125,624,0,496
126,621,0,499
127,631,0,489
128,627,0,493
129,620,0,500
130,628,0,492
131,628,0,492
132,629,0,491
133,629,0,491
134,631,0,489
135,628,0,492
136,632,0,488
137,631,0,489
138,629,0,491
139,628,0,492
140,629,0,491
141,632,0,488
142,628,0,492
143,632,0,488
144,632,0,488
145,631,0,489
146,630,0,490
147,625,0,495
148,631,0,489
149,626,0,494
150,631,0,489
151,629,0,491
152,631,0,489
153,631,0,489
154,632,0,488
155,627,0,493
156,620,0,500
157,631,0,489
158,630,0,490
159,625,0,495
160,632,0,488
161,628,0,492
162,630,0,490
163,630,0,490
164,630,0,490
165,631,0,489
166,631,0,489
167,625,0,495
168,626,0,494
169,633,0,487
