t,q,j,a
0,1440,0,0
1,1016,35,389
2,830,95,515
3,816,152,472
4,818,207,415
5,824,257,359
6,829,305,306
7,832,352,256
8,825,401,214
9,827,448,165
10,853,480,107
11,858,505,77
12,876,516,48
13,883,517,40
14,891,525,24
15,905,517,18
16,911,511,18
17,911,498,31
18,914,487,39
19,917,482,41
20,903,486,51
21,891,501,48
22,898,499,43
23,899,494,47
24,911,483,46
25,908,483,49
26,942,463,35
27,931,458,51
28,925,457,58
29,909,464,67
30,927,453,60
31,924,456,60
32,926,449,65
33,899,454,87
34,904,455,81
35,900,463,77
36,920,458,62
37,917,468,55
38,905,476,59
39,926,469,45
40,918,473,49
41,917,473,50
42,911,479,50
43,919,473,48
44,935,465,40
45,915,469,56
46,917,471,52
47,915,471,54
48,915,470,55
49,928,460,52
50,925,457,58
51,914,457,69
52,903,471,66
53,899,481,60
54,904,486,50
55,898,496,46
56,894,506,40
57,899,498,43
58,908,497,35
59,925,482,33
60,929,479,32
61,922,467,51
62,913,467,60
63,901,475,64
64,907,476,57
65,892,479,69
66,900,483,57
67,908,479,53
68,909,474,57
69,934,464,42
70,936,463,41
71,913,471,56
72,903,474,63
73,906,476,58
74,907,483,50
75,906,483,51
76,914,476,50
77,911,487,42
78,915,487,38
79,928,470,42
80,932,457,51
81,928,456,56
82,913,458,69
83,891,484,65
84,896,489,55
85,904,489,47
86,917,479,44
87,933,463,44
88,937,454,49
89,936,451,53
90,926,445,69
91,901,460,79
92,913,458,69
93,899,473,68
94,887,500,53
95,905,495,40
96,909,490,41
97,917,475,48
98,898,485,57
99,893,492,55
100,904,487,49
101,900,488,52
102,913,486,41
103,924,477,39
104,929,464,47
105,921,471,48
106,914,466,60
107,922,452,66
108,910,456,74
109,900,465,75
110,901,470,69
111,899,483,58
112,906,487,47
113,910,489,41
114,917,481,42
115,916,481,43
116,931,471,38
117,920,468,52
118,914,470,56
119,899,480,61
120,911,480,49
121,903,486,51
122,917,475,48
123,924,478,38
124,938,468,34
125,942,463,35
126,939,455,46
127,927,453,60
128,921,463,56
129,922,464,54
130,901,476,63
131,899,484,57
132,904,489,47
133,920,479,41
134,915,474,51
135,946,449,45
136,913,447,80
137,916,450,74
138,908,461,71
139,898,477,65
140,916,473,51
141,906,485,49
142,919,487,34
143,936,472,32
144,938,466,36
145,913,470,57
146,924,467,49
147,905,472,63
148,905,476,59
