t,q,j,a
0,1120,0,0
1,675,12,433
2,626,28,466
3,626,43,451
4,627,58,435
5,629,71,420
6,630,83,407
7,631,94,395
8,632,104,384
9,631,115,374
10,631,126,363
11,626,141,353
12,632,150,338
13,632,160,328
14,630,172,318
15,635,179,306
16,633,188,299
17,637,193,290
18,636,199,285
19,639,202,279
20,638,206,276
21,638,209,273
22,639,212,269
23,644,210,266
24,637,213,270
25,635,220,265
26,642,220,258
27,638,223,259
28,633,232,255
29,641,232,247
30,635,239,246
31,642,239,239
32,644,236,240
33,646,231,243
34,645,226,249
35,644,224,252
36,636,230,254
37,642,230,248
38,647,224,249
39,638,228,254
40,639,230,251
41,638,234,248
42,647,229,244
43,649,222,249
44,639,225,256
45,639,228,253
46,647,223,250
47,641,224,255
48,644,222,254
49,647,214,259
50,635,220,265
51,638,224,258
52,637,229,254
53,641,230,249
54,642,230,248
55,642,229,249
56,649,222,249
57,643,219,258
58,640,221,259
59,640,223,257
60,646,219,255
61,635,226,259
62,639,229,252
63,642,229,249
64,651,220,249
65,643,219,258
66,635,226,259
67,639,229,252
68,645,226,249
69,640,228,252
70,639,231,250
71,637,236,247
72,639,239,242
73,647,234,239
74,641,235,244
75,642,235,243
76,641,235,244
77,644,233,243
78,648,227,245
79,641,228,251
80,643,227,250
81,642,227,251
82,647,222,251
83,641,223,256
84,641,224,255
85,636,230,254
86,647,225,248
87,647,220,253
88,650,212,258
89,641,213,266
90,641,213,266
91,646,209,265
92,643,208,269
93,640,210,270
94,645,207,268
95,642,207,271
96,643,206,271
97,643,205,272
98,635,210,275
99,640,212,268
100,636,217,267
101,641,218,261
102,640,220,260
103,645,217,258
104,643,216,261
105,643,215,262
106,644,213,263
107,640,215,265
108,636,221,263
109,640,223,257
110,639,226,255
111,638,230,252
112,640,232,248
113,654,219,247
114,643,218,259
115,644,216,260
116,634,224,262
117,641,223,256
118,642,223,255
119,638,227,255
120,646,223,251
121,640,225,255
122,637,230,253
123,638,234,248
124,648,227,245
125,639,230,251
126,638,233,249
127,642,233,245
128,646,229,245
129,645,226,249
130,645,222,253
131,643,221,256
132,640,223,257
133,635,229,256
134,645,226,249
135,642,226,252
136,639,229,252
137,646,224,250
138,641,225,254
139,639,228,253
140,643,227,250
141,645,224,251
142,645,220,255
143,648,213,259
144,639,216,265
