t,q,j,a
0,1120,0,0
1,1104,15,1
2,1102,18,0
3,1104,16,0
4,1103,17,0
5,1102,18,0
6,1104,16,0
7,1102,16,2
8,1102,18,0
9,1102,18,0
10,1102,18,0
11,1103,17,0
12,1102,18,0
13,1103,17,0
14,1104,16,0
15,1104,16,0
16,1104,16,0
17,1103,16,1
18,1102,18,0
19,1104,16,0
20,1102,18,0
21,1103,17,0
22,1104,16,0
23,1103,17,0
24,1103,16,1
25,1103,17,0
26,1105,15,0
27,1103,17,0
28,1103,16,1
29,1104,16,0
30,1104,16,0
31,1102,18,0
32,1103,17,0
33,1105,15,0
34,1103,17,0
35,1104,16,0
36,1104,16,0
37,1104,15,1
38,1103,17,0
39,1103,17,0
40,1102,18,0
41,1104,16,0
42,1103,16,1
43,1104,16,0
44,1102,18,0
45,1102,18,0
46,1102,18,0
47,1104,16,0
48,1103,17,0
49,1103,17,0
50,1104,16,0
51,1103,17,0
52,1104,16,0
53,1102,18,0
54,1103,17,0
55,1104,16,0
56,1104,16,0
57,1102,17,1
58,1103,17,0
59,1102,18,0
60,1103,17,0
61,1105,15,0
62,1104,16,0
63,1102,17,1
64,1103,17,0
65,1103,17,0
66,1105,15,0
67,1102,18,0
68,1104,16,0
69,1103,17,0
70,1105,15,0
71,1102,18,0
72,1103,17,0
73,1104,16,0
74,1102,18,0
75,1103,17,0
76,1103,17,0
77,1105,15,0
78,1103,17,0
79,1103,17,0
80,1103,17,0
81,1103,17,0
82,1102,18,0
83,1103,17,0
84,1102,18,0
85,1104,16,0
86,1102,18,0
87,1104,16,0
88,1104,15,1
89,1103,17,0
90,1102,18,0
91,1105,15,0
92,1102,17,1
93,1103,17,0
94,1104,15,1
95,1104,16,0
96,1103,17,0
97,1102,18,0
98,1103,17,0
99,1103,17,0
100,1103,17,0
101,1107,13,0
102,1102,17,1
103,1102,18,0
104,1103,17,0
105,1103,16,1
106,1104,16,0
107,1106,14,0
108,1102,17,1
109,1104,16,0
110,1103,17,0
111,1105,15,0
112,1102,18,0
113,1103,17,0
114,1103,17,0
115,1104,16,0
116,1102,18,0
117,1103,17,0
118,1105,15,0
119,1103,17,0
120,1103,17,0
121,1103,17,0
122,1104,16,0
123,1105,15,0
124,1104,16,0
125,1102,18,0
126,1104,16,0
127,1104,16,0
128,1103,17,0
129,1103,17,0
130,1103,17,0
131,1105,15,0
132,1102,17,1
133,1103,17,0
134,1104,16,0
135,1105,15,0
136,1105,14,1
137,1103,17,0
138,1102,18,0
139,1103,17,0
140,1104,16,0
141,1105,15,0
142,1102,18,0
143,1102,18,0
144,1105,15,0
145,1104,16,0
146,1102,17,1
147,1104,16,0
148,1103,17,0
149,1105,15,0
150,1102,18,0
151,1103,17,0
152,1102,18,0
153,1103,17,0
154,1103,16,1
155,1103,17,0
156,1102,18,0
157,1105,15,0
158,1103,17,0
159,1103,17,0
160,1103,17,0
161,1104,16,0
162,1104,16,0
163,1105,15,0
164,1104,15,1
165,1103,17,0
166,1102,18,0
167,1103,17,0
168,1104,16,0
169,1105,15,0
170,1103,16,1
171,1103,17,0
172,1103,17,0
173,1104,16,0
174,1103,17,0
175,1103,17,0
176,1104,16,0
177,1106,14,0
178,1103,16,1
179,1103,17,0
180,1104,16,0
181,1102,18,0
182,1104,16,0
183,1103,16,1
184,1103,17,0
185,1102,18,0
186,1102,18,0
187,1102,18,0
188,1102,18,0
189,1102,18,0
190,1103,17,0
191,1106,14,0
192,1105,15,0
193,1103,17,0
194,1103,17,0
195,1102,18,0
196,1102,18,0
197,1102,18,0
198,1103,17,0
199,1104,16,0
200,1103,17,0
201,1105,15,0
202,1103,17,0
203,1104,16,0
204,1103,16,1
205,1104,16,0
206,1106,14,0
207,1102,18,0
208,1104,16,0
209,1102,18,0
210,1102,18,0
211,1105,15,0
212,1102,18,0
213,1104,16,0
214,1102,18,0
215,1103,17,0
216,1103,17,0
217,1104,16,0
218,1103,16,1
219,1104,16,0
220,1103,17,0
221,1103,17,0
222,1105,15,0
223,1103,17,0
224,1103,17,0
225,1102,18,0
226,1104,16,0
227,1104,16,0
228,1102,18,0
229,1103,17,0
230,1103,17,0
231,1105,15,0
