t,q,j,a
0,1440,0,0
1,926,30,484
2,816,89,535
3,810,144,486
4,812,191,437
5,820,236,384
6,819,281,340
7,822,320,298
8,823,351,266
9,836,373,231
10,833,399,208
11,823,415,202
12,830,438,172
13,832,448,160
14,836,461,143
15,833,477,130
16,846,478,116
17,853,470,117
18,838,473,129
19,837,478,125
20,835,485,120
21,839,499,102
22,857,478,105
23,851,469,120
24,849,468,123
25,858,467,115
26,853,468,119
27,860,455,125
28,864,446,130
29,859,448,133
30,849,455,136
31,851,461,128
32,850,458,132
33,845,454,141
34,860,445,135
35,865,438,137
36,857,436,147
37,856,437,147
38,848,445,147
39,849,442,149
40,850,438,152
41,850,439,151
42,853,443,144
43,843,443,154
44,849,449,142
45,855,448,137
46,854,448,138
47,853,443,144
48,842,447,151
49,836,454,150
50,849,441,150
51,841,435,164
52,833,438,169
53,847,432,161
54,837,443,160
55,845,444,151
56,851,437,152
57,847,442,151
58,850,440,150
59,855,443,142
60,848,443,149
61,853,435,152
62,864,421,155
63,859,413,168
64,847,419,174
65,855,420,165
66,846,429,165
67,845,435,160
68,850,435,155
69,845,432,163
70,851,442,147
71,849,439,152
72,842,443,155
73,860,431,149
74,858,433,149
75,853,430,157
76,852,436,152
77,853,427,160
78,849,435,156
79,858,434,148
80,853,440,147
81,842,446,152
82,850,446,144
83,847,449,144
84,847,446,147
85,850,436,154
86,853,431,156
87,842,440,158
88,845,436,159
89,846,443,151
90,850,450,140
91,850,441,149
92,860,433,147
93,844,442,154
94,848,445,147
95,850,439,151
96,852,446,142
97,847,449,144
98,834,463,143
99,841,463,136
100,844,457,139
101,853,458,129
102,848,452,140
103,853,451,136
104,852,443,145
105,859,432,149
106,842,443,155
107,842,443,155
108,844,443,153
109,845,437,158
110,851,437,152
111,854,435,151
112,857,422,161
113,853,421,166
114,848,418,174
115,854,419,167
116,858,415,167
117,853,417,170
118,847,427,166
119,849,432,159
120,857,434,149
121,853,426,161
122,842,427,171
123,847,431,162
124,840,437,163
125,851,435,154
126,848,437,155
127,857,428,155
128,843,429,168
129,846,438,156
130,847,446,147
131,845,448,147
132,847,448,145
133,866,432,142
134,862,422,156
135,868,407,165
136,840,424,176
137,838,430,172
138,840,436,164
139,849,436,155
140,848,438,154
141,849,438,153
142,857,431,152
143,845,441,154
144,873,413,154
145,857,408,175
146,844,414,182
147,866,404,170
148,854,406,180
149,854,411,175
150,851,414,175
151,847,415,178
152,836,425,179
153,845,436,159
154,849,434,157
155,837,445,158
156,844,437,159
157,844,430,166
158,849,433,158
159,856,432,152
160,860,426,154
161,852,425,163
162,852,424,164
163,845,428,167
164,857,424,159
165,834,435,171
166,845,438,157
167,849,441,150
168,858,438,144
169,858,430,152
170,853,435,152
171,853,436,151
172,858,433,149
173,852,441,147
174,848,444,148
175,845,450,145
176,859,437,144
177,840,444,156
178,843,444,153
179,844,444,152
180,851,440,149
181,839,447,154
182,848,441,151
183,868,424,148
184,859,411,170
185,845,417,178
186,844,417,179
187,849,419,172
188,849,426,165
189,851,431,158
190,856,426,158
191,837,436,167
192,856,426,158
193,851,431,158
194,848,437,155
195,849,438,153
196,845,450,145
197,848,455,137
198,839,457,144
199,847,458,135
200,850,459,131
201,851,459,130
202,857,448,135
203,848,448,144
204,850,450,140
205,836,458,146
206,855,442,143
207,852,442,146
208,855,441,144
209,840,454,146
210,848,456,136
211,851,456,133
212,860,448,132
213,852,447,141
214,855,439,146
215,863,435,142
216,856,437,147
217,864,430,146
218,864,428,148
219,853,433,154
220,839,444,157
221,851,450,139
222,859,447,134
223,853,457,130
224,845,458,137
225,853,456,131
226,858,452,130
227,851,455,134
228,860,446,134
229,857,437,146
230,859,430,151
231,855,435,150
232,844,449,147
233,847,451,142
234,870,428,142
235,864,420,156
236,856,424,160
237,853,427,160
238,859,422,159
239,852,424,164
240,858,424,158
241,841,434,165
242,854,436,150
243,859,438,143
244,858,436,146
245,865,433,142
246,856,433,151
247,855,431,154
248,843,448,149
249,836,469,135
250,855,474,111
251,855,468,117
252,860,460,120
253,851,469,120
254,853,467,120
255,857,463,120
256,871,440,129
257,856,441,143
258,848,452,140
259,847,450,143
260,853,445,142
261,848,448,144
262,859,430,151
263,860,427,153
264,856,426,158
265,841,433,166
266,856,429,155
267,849,433,158
268,843,442,155
269,851,442,147
270,861,431,148
271,854,429,157
272,852,418,170
273,853,419,168
274,846,430,164
275,846,436,158
276,851,434,155
277,842,431,167
278,846,429,165
279,843,434,163
280,846,435,159
281,849,428,163
282,844,431,165
283,848,437,155
284,840,446,154
285,848,450,142
286,842,450,148
287,843,447,150
288,859,440,141
289,855,440,145
290,846,443,151
291,846,445,149
292,851,444,145
293,844,441,155
294,835,452,153
295,846,448,146
296,855,446,139
297,862,432,146
298,865,420,155
299,852,424,164
300,858,425,157
301,857,431,152
302,856,418,166
303,846,434,160
304,847,440,153
305,853,440,147
306,848,443,149
307,857,435,148
308,850,433,157
309,851,431,158
310,861,432,147
311,852,441,147
312,846,452,142
313,852,448,140
314,848,457,135
315,846,459,135
316,850,461,129
317,852,466,122
318,849,467,124
319,846,471,123
320,852,465,123
321,850,461,129
322,844,465,131
323,851,461,128
324,841,459,140
325,845,455,140
326,848,456,136
327,859,433,148
328,867,419,154
329,855,424,161
330,848,421,171
331,862,420,158
332,863,415,162
333,838,430,172
334,850,424,166
335,855,422,163
336,853,426,161
337,851,428,161
338,836,440,164
339,853,445,142
340,856,448,136
341,849,455,136
342,852,449,139
343,852,446,142
344,847,451,142
