t,q,j,a
0,1280,0,0
1,1258,17,5
2,1158,39,83
3,820,93,367
4,721,149,410
5,720,205,355
6,726,256,298
7,728,304,248
8,728,355,197
9,739,406,135
10,750,444,86
11,767,467,46
12,803,477,0
13,818,462,0
14,834,446,0
15,858,422,0
16,874,406,0
17,898,382,0
18,910,370,0
19,936,344,0
20,953,327,0
21,963,316,1
22,982,298,0
23,1009,271,0
24,1040,240,0
25,1068,212,0
26,1082,197,1
27,1105,174,1
28,1129,151,0
29,1147,133,0
30,1164,115,1
31,1180,99,1
32,1195,85,0
33,1211,69,0
34,1230,50,0
35,1184,54,42
36,937,92,251
37,730,144,406
38,728,193,359
39,727,242,311
40,729,290,261
41,727,339,214
42,737,383,160
43,744,425,111
44,769,456,55
45,788,473,19
46,820,459,1
47,831,448,1
48,858,421,1
49,878,402,0
50,892,385,3
51,913,366,1
52,929,350,1
53,948,332,0
54,962,318,0
55,985,295,0
56,1004,276,0
57,1025,255,0
58,1044,236,0
59,1068,211,1
60,1090,189,1
61,1113,167,0
62,1125,155,0
63,1142,136,2
64,1076,127,77
65,900,155,225
66,734,200,346
67,739,237,304
68,728,286,266
69,732,330,218
70,739,370,171
71,747,404,129
72,742,451,87
73,767,486,27
74,793,487,0
75,811,469,0
76,826,453,1
77,844,436,0
78,869,411,0
79,890,389,1
80,908,372,0
81,938,341,1
82,958,322,0
83,975,305,0
84,1005,275,0
85,1026,254,0
86,1038,238,4
87,1058,222,0
88,1054,210,16
89,1024,207,49
90,946,223,111
91,777,261,242
92,739,299,242
93,742,334,204
94,744,366,170
95,745,401,134
96,757,427,96
97,772,459,49
98,786,468,26
99,809,465,6
100,837,443,0
101,861,419,0
102,885,395,0
103,902,378,0
104,921,359,0
105,935,344,1
106,895,345,40
107,901,346,33
108,896,361,23
109,879,372,29
110,901,377,2
111,897,369,14
112,909,348,23
113,910,344,26
114,944,333,3
115,969,311,0
116,992,288,0
117,1011,267,2
118,1027,245,8
119,1042,238,0
120,1025,217,38
121,915,229,136
122,767,268,245
123,741,303,236
124,740,339,201
125,737,381,162
126,776,404,100
127,790,439,51
128,811,461,8
129,834,446,0
130,848,423,9
131,855,407,18
132,866,394,20
133,886,393,1
134,917,363,0
135,944,336,0
136,967,313,0
137,982,297,1
138,996,284,0
139,1018,262,0
140,1038,242,0
141,1057,220,3
142,1076,204,0
143,1086,193,1
144,1103,177,0
145,1125,155,0
146,1139,140,1
147,1157,122,1
148,1167,112,1
149,1184,96,0
150,1195,85,0
151,1209,71,0
152,1226,53,1
153,1232,48,0
154,1236,44,0
155,1187,51,42
156,920,94,266
157,719,149,412
158,728,198,354
159,727,244,309
160,722,298,260
161,740,335,205
162,727,384,169
163,738,433,109
164,759,474,47
165,782,490,8
166,799,481,0
167,821,459,0
168,838,441,1
169,858,421,1
170,881,399,0
171,898,380,2
172,919,360,1
173,931,347,2
174,958,322,0
175,979,301,0
176,998,279,3
177,949,278,53
178,867,304,109
179,790,335,155
180,762,366,152
181,768,390,122
182,779,409,92
183,806,421,53
184,831,426,23
185,868,411,1
186,899,379,2
187,911,353,16
188,912,353,15
189,932,347,1
190,956,323,1
191,974,306,0
192,996,284,0
193,1010,269,1
194,1025,255,0
195,1045,235,0
196,1054,225,1
197,1069,211,0
198,1081,198,1
199,1091,188,1
200,1097,170,13
