t,q,j,a
0,1120,0,0
1,210,58,852
2,137,117,866
3,140,172,808
4,145,221,754
5,142,275,703
6,145,326,649
7,145,377,598
8,155,418,547
9,153,461,506
10,145,512,463
11,167,541,412
12,162,572,386
13,155,612,353
14,165,641,314
15,166,670,284
16,164,699,257
17,162,732,226
18,176,752,192
19,174,777,169
20,183,793,144
21,181,813,126
22,199,818,103
23,202,835,83
24,216,850,54
25,251,840,29
26,292,817,11
27,315,798,7
28,352,764,4
29,385,728,7
30,424,689,7
31,435,668,17
32,354,659,107
33,229,662,229
34,194,664,262
35,197,661,262
36,189,668,263
37,190,674,256
38,180,690,250
39,179,707,234
40,198,706,216
41,183,718,219
42,192,721,207
43,193,722,205
44,185,733,202
45,175,752,193
46,184,764,172
47,189,773,158
48,176,793,151
49,180,808,132
50,206,810,104
51,203,814,103
52,208,819,93
53,212,825,83
54,204,839,77
55,215,841,64
56,238,841,41
57,266,830,24
58,293,809,18
59,309,790,21
60,337,769,14
61,376,731,13
62,387,710,23
63,360,706,54
64,322,707,91
65,266,711,143
66,214,701,205
67,193,703,224
68,204,694,222
69,184,705,231
70,185,716,219
71,183,727,210
72,185,737,198
73,189,744,187
74,185,760,175
75,194,760,166
76,179,775,166
77,178,799,143
78,194,806,120
79,191,820,109
80,208,823,89
81,222,823,75
82,237,829,54
83,230,829,61
84,252,822,46
85,267,823,30
86,282,813,25
87,312,782,26
88,308,775,37
89,327,758,35
90,307,749,64
91,263,761,96
92,253,755,112
93,224,756,140
94,190,763,167
95,198,762,160
96,195,764,161
97,207,755,158
98,196,759,165
99,189,768,163
100,187,778,155
101,180,794,146
102,194,802,124
103,202,804,114
104,196,816,108
105,222,815,83
106,213,830,77
107,231,819,70
108,211,833,76
109,227,837,56
110,236,844,40
111,276,824,20
112,306,796,18
113,327,779,14
114,317,775,28
115,335,754,31
116,321,747,52
117,258,740,122
118,202,747,171
119,190,753,177
120,194,757,169
121,194,757,169
122,188,764,168
123,198,773,149
124,204,771,145
125,184,789,147
126,183,804,133
127,205,805,110
128,198,820,102
129,239,799,82
130,217,803,100
131,212,801,107
132,218,799,103
133,232,792,96
134,207,806,107
135,209,819,92
136,225,828,67
137,215,845,60
138,255,845,20
139,306,811,3
140,331,778,11
141,336,775,9
142,367,746,7
143,371,724,25
144,336,712,72
145,233,721,166
146,195,729,196
147,193,733,194
148,182,752,186
149,194,755,171
150,183,768,169
151,184,779,157
152,184,795,141
153,189,814,117
154,217,811,92
155,228,813,79
156,250,803,67
157,210,813,97
158,231,818,71
159,239,820,61
160,271,804,45
161,271,798,51
162,256,801,63
163,256,801,63
164,250,809,61
165,270,811,39
166,282,804,34
167,275,793,52
168,284,790,46
169,288,773,59
170,272,764,84
171,238,766,116
172,202,770,148
173,194,779,147
174,198,784,138
175,190,792,138
176,194,798,128
177,196,815,109
178,217,813,90
179,220,813,87
180,206,817,97
181,226,817,77
182,225,827,68
183,247,819,54
184,255,814,51
185,262,809,49
186,277,809,34
187,283,791,46
188,288,784,48
189,292,770,58
190,284,763,73
191,267,752,101
192,211,758,151
193,192,761,167
194,186,775,159
195,184,789,147
196,218,780,122
197,187,791,142
198,188,800,132
199,195,803,122
200,191,810,119
201,196,814,110
202,196,815,109
203,204,818,98
204,201,830,89
205,203,836,81
206,234,844,42
207,266,837,17
208,302,814,4
209,347,771,2
210,347,757,16
211,359,731,30
212,335,725,60
213,288,719,113
214,220,709,191
215,189,715,216
216,179,730,211
217,179,744,197
218,196,750,174
219,188,759,173
220,189,769,162
221,209,759,152
222,198,765,157
223,195,781,144
224,194,791,135
225,181,809,130
226,197,813,110
227,206,810,104
228,217,808,95
229,205,815,100
230,199,831,90
231,221,843,56
232,232,841,47
233,248,830,42
234,242,827,51
235,268,814,38
236,286,793,41
237,276,783,61
238,263,784,73
239,232,784,104
240,207,793,120
241,189,815,116
242,214,806,100
243,213,807,100
244,224,815,81
245,240,808,72
246,242,805,73
247,232,798,90
248,230,791,99
249,206,803,111
250,199,807,114
251,208,809,103
252,223,808,89
253,217,817,86
254,212,818,90
255,226,825,69
256,231,836,53
257,253,839,28
258,295,811,14
259,313,799,8
260,345,769,6
261,360,737,23
262,360,715,45
263,316,727,77
264,215,728,177
265,181,742,197
266,193,746,181
267,195,749,176
268,197,751,172
269,195,763,162
270,202,764,154
271,201,760,159
272,195,762,163
273,195,765,160
274,186,775,159
275,190,785,145
276,181,803,136
277,211,800,109
278,211,806,103
279,197,813,110
280,210,813,97
281,214,807,99
282,195,820,105
283,204,832,84
284,218,825,77
285,227,826,67
286,241,826,53
287,263,818,39
288,286,802,32
289,292,796,32
290,312,780,28
291,300,773,47
292,268,766,86
293,247,770,103
294,233,775,112
295,215,776,129
296,213,783,124
297,212,780,128
298,186,791,143
299,183,805,132
300,212,796,112
301,207,801,112
302,202,807,111
303,223,803,94
304,193,826,101
305,222,829,69
306,248,819,53
307,250,816,54
308,245,826,49
309,273,815,32
310,319,788,13
311,332,770,18
312,334,745,41
313,310,726,84
314,209,734,177
315,191,738,191
316,185,749,186
317,203,742,175
318,179,759,182
319,181,775,164
320,186,790,144
321,197,800,123
322,193,812,115
323,225,809,86
324,244,796,80
325,218,811,91
326,223,802,95
327,197,814,109
328,208,823,89
329,231,817,72
330,234,828,58
331,237,840,43
332,269,831,20
333,293,820,7
334,302,792,26
335,315,772,33
336,290,767,63
337,248,770,102
338,216,777,127
339,203,778,139
340,196,780,144
341,185,791,144
342,183,804,133
343,202,799,119
344,211,791,118
345,184,801,135
346,210,793,117
347,192,812,116
348,199,821,100
349,222,810,88
350,216,813,91
351,222,810,88
352,226,811,83
353,205,829,86
354,218,834,68
355,240,839,41
356,243,833,44
357,260,822,38
358,267,823,30
359,306,789,25
360,319,783,18
361,322,763,35
362,302,756,62
363,272,754,94
364,216,762,142
365,221,753,146
366,191,762,167
367,183,777,160
368,208,773,139
369,200,776,144
370,193,781,146
371,175,802,143
372,183,818,119
373,202,829,89
374,221,831,68
375,230,840,50
376,266,817,37
377,280,816,24
378,321,794,5
379,346,764,10
380,349,737,34
381,387,707,26
382,381,710,29
383,331,704,85
384,252,710,158
385,197,718,205
386,187,726,207
387,185,737,198
388,185,744,191
389,186,757,177
390,200,753,167
391,193,762,165
392,214,754,152
393,186,762,172
394,191,770,159
395,177,788,155
396,189,797,134
397,189,810,121
398,209,804,107
399,195,825,100
400,210,823,87
401,226,821,73
402,217,831,72
403,246,830,44
404,270,810,40
405,273,808,39
406,285,805,30
407,299,800,21
408,287,782,51
409,288,763,69
410,249,762,109
411,222,761,137
412,200,762,158
413,185,776,159
414,204,770,146
415,198,770,152
416,194,773,153
417,191,786,143
418,198,793,129
419,199,803,118
420,194,814,112
421,203,822,95
422,210,832,78
423,231,824,65
424,224,824,72
425,238,817,65
426,249,813,58
427,247,806,67
428,243,813,64
429,258,819,43
430,266,818,36
431,278,809,33
432,315,792,13
433,352,761,7
434,331,738,51
435,302,731,87
436,254,719,147
437,201,720,199
438,190,730,200
439,183,743,194
440,184,757,179
441,192,763,165
442,198,760,162
443,194,764,162
444,186,776,158
445,193,780,147
446,193,783,144
447,192,788,140
448,205,785,130
449,189,801,130
450,191,815,114
451,190,829,101
452,222,823,75
453,213,829,78
454,206,835,79
455,228,841,51
456,258,843,19
457,287,825,8
458,303,806,11
459,336,782,2
460,364,747,9
461,364,730,26
462,352,710,58
463,247,712,161
464,203,729,188
465,201,729,190
466,187,737,196
467,192,740,188
468,175,760,185
469,187,770,163
470,190,777,153
471,195,777,148
472,203,769,148
473,196,768,156
474,205,759,156
475,192,763,165
476,191,769,160
477,184,785,151
478,176,811,133
479,194,814,112
480,216,810,94
481,188,823,109
482,199,836,85
483,214,844,62
484,238,833,49
485,248,828,44
486,267,814,39
487,258,806,56
488,251,809,60
489,246,814,60
490,235,818,67
491,274,790,56
492,273,789,58
493,264,787,69
494,270,781,69
495,223,781,116
496,200,799,121
497,209,805,106
498,210,808,102
499,218,812,90
500,219,813,88
501,230,821,69
502,245,819,56
503,245,821,54
504,277,817,26
505,314,802,4
506,350,765,5
507,381,733,6
508,411,706,3
509,427,670,23
510,361,670,89
511,238,689,193
512,184,702,234
513,191,705,224
514,178,725,217
515,187,734,199
516,183,748,189
517,184,760,176
518,187,771,162
519,188,781,151
520,207,777,136
521,210,775,135
522,207,778,135
523,198,788,134
524,212,785,123
525,194,793,133
526,192,810,118
527,208,817,95
528,227,814,79
529,224,827,69
530,252,822,46
531,264,813,43
532,260,801,59
533,234,819,67
534,244,829,47
535,274,825,21
536,293,813,14
537,330,780,10
538,330,748,42
