"[all run data]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]"
,"1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0"
,"712","408","0","714","406","0","719","401","0","760","360","0","702","418","0","743","377","0","756","361","3","714","405","1","754","366","0","715","405","0"
,"724","395","1","732","388","0","737","383","0","777","343","0","725","395","0","761","359","0","779","340","1","731","384","5","773","347","0","731","389","0"
,"739","381","0","741","379","0","755","365","0","795","325","0","743","377","0","775","343","2","791","329","0","749","371","0","794","326","0","744","376","0"
,"767","353","0","762","357","1","763","357","0","806","314","0","762","358","0","796","324","0","808","312","0","776","344","0","813","305","2","759","361","0"
,"790","330","0","776","344","0","796","324","0","810","309","1","783","337","0","820","300","0","823","296","1","786","334","0","826","294","0","782","337","1"
,"811","309","0","789","325","6","810","309","1","822","298","0","800","320","0","836","283","1","837","283","0","802","318","0","846","272","2","799","321","0"
,"825","294","1","786","312","22","820","300","0","846","274","0","809","309","2","850","270","0","850","270","0","816","304","0","855","264","1","816","304","0"
,"848","272","0","787","318","15","836","284","0","863","257","0","827","293","0","867","251","2","874","245","1","829","291","0","857","262","1","826","287","7"
,"861","259","0","797","321","2","848","272","0","873","246","1","849","270","1","882","237","1","885","234","1","843","277","0","873","247","0","824","288","8"
,"875","245","0","822","298","0","861","259","0","890","230","0","867","253","0","889","230","1","899","221","0","862","257","1","888","232","0","839","281","0"
,"897","223","0","839","281","0","880","240","0","901","217","2","888","232","0","906","214","0","917","203","0","880","240","0","911","208","1","856","264","0"
,"910","210","0","867","253","0","902","218","0","914","206","0","908","212","0","922","198","0","933","187","0","899","221","0","929","186","5","878","242","0"
,"922","196","2","888","231","1","918","202","0","932","188","0","918","202","0","941","178","1","956","164","0","922","198","0","898","190","32","907","213","0"
,"937","183","0","904","216","0","931","189","0","954","165","1","932","188","0","949","171","0","974","145","1","931","189","0","865","212","43","925","195","0"
,"954","166","0","925","195","0","945","175","0","967","151","2","952","168","0","971","149","0","992","128","0","949","171","0","806","236","78","944","176","0"
,"966","154","0","940","180","0","962","156","2","963","140","17","964","156","0","988","131","1","1011","108","1","964","156","0","738","260","122","963","156","1"
