active,jail
0,222
0,207
0,192
0,173
0,158
0,144
0,130
0,116
0,103
15,89
105,107
237,150
271,198
220,249
173,300
115,348
53,389
11,410
0,406
0,386
1,371
0,360
0,339
1,318
1,301
0,286
0,264
0,247
0,232
10,217
46,218
70,231
92,258
76,283
60,310
72,335
35,355
21,358
1,351
0,334
0,310
1,292
0,267
0,240
1,215
0,200
8,190
37,204
46,230
46,277
64,293
55,312
35,341
33,349
15,361
0,353
0,333
0,313
0,288
0,268
1,248
13,240
1,228
0,206
0,195
1,180
0,172
0,152
0,143
0,133
0,122
0,117
0,109
0,98
1,87
0,83
1,72
0,68
0,54
0,50
0,39
3,36
0,33
0,31
0,31
36,42
156,79
327,134
288,185
237,239
179,293
123,344
62,384
15,418
0,416
0,403
1,382
0,366
1,350
1,333
0,318
0,305
0,296
1,286
0,263
0,252
0,239
13,231
19,227
19,226
27,231
4,238
5,223
6,210
0,196
0,177
0,160
0,136
1,121
1,110
0,102
0,92
3,86
47,100
105,137
224,190
213,244
164,296
123,341
56,385
9,408
0,394
0,383
0,366
0,351
1,334
4,318
5,297
13,295
4,288
16,278
0,287
4,274
12,268
1,264
0,250
2,235
4,211
27,204
71,208
110,233
151,270
146,304
100,334
48,372
8,378
0,362
0,338
0,314
0,300
1,279
0,258
0,243
0,226
1,213
0,195
13,185
16,190
0,187
0,166
1,155
0,149
0,139
0,122
7,114
13,115
25,116
5,126
0,118
0,104
0,90
0,86
0,81
0,76
0,67
0,63
0,61
31,64
166,100
302,158
264,212
210,265
155,316
90,365
33,398
3,401
0,392
1,373
2,357
0,345
2,320
0,307
0,294
1,266
0,250
0,239
1,223
7,213
19,208
9,198
12,201
0,199
1,186
0,172
0,151
0,133
0,116
0,96
1,83
71,85
227,127
294,178
241,232
192,282
135,323
82,364
18,403
2,406
0,382
0,360
0,342
0,322
0,308
0,291
1,274
0,260
0,243
0,235
0,219
0,196
0,182
14,168
29,174
84,188
118,223
172,262
162,297
116,338
58,367
13,382
0,368
0,338
0,314
0,295
0,286
0,265
0,246
0,234
0,221
1,210
0,202
1,191
0,176
0,162
0,148
0,137
0,117
17,120
70,127
184,164
250,208
207,251
169,290
116,330
75,370
23,396
9,397
0,387
0,365
0,347
0,324
0,310
0,298
0,280
0,272
0,257
0,240
0,221
3,214
0,204
0,190
0,165
0,150
0,130
0,116
0,99
1,83
1,68
1,53
0,48
0,40
0,35
0,30
1,25
1,24
28,36
112,73
286,124
297,183
240,235
188,284
138,329
89,375
24,415
1,413
0,400
0,383
1,363
0,352
0,336
0,321
0,303
2,287
14,278
19,279
1,275
0,258
0,241
0,227
1,204
2,187
0,162
2,136
12,126
47,128
148,150
225,190
228,231
186,277
137,321
85,364
25,403
0,404
0,393
0,378
0,351
0,332
0,310
7,301
15,302
4,306
0,293
0,268
1,249
0,230
0,215
0,195
0,178
0,166
0,148
0,132
0,122
0,105
1,101
9,87
53,101
181,130
277,183
234,225
193,263
149,311
98,358
41,404
8,412
4,406
0,392
1,377
0,353
0,341
0,329
0,313
0,294
0,280
4,259
2,251
0,231
0,213
0,194
0,181
0,165
0,143
0,123
1,113
0,102
0,82
0,68
0,59
0,48
0,33
0,30
0,30
0,25
1,26
0,26
0,28
0,27
0,26
0,27
0,26
0,27
0,27
0,26
0,26
0,23
12,27
93,53
310,106
315,160
261,215
207,261
159,306
105,353
41,400
2,416
0,399
0,378
0,357
0,338
0,328
1,315
4,298
13,292
3,291
0,278
1,261
0,244
0,219
0,202
0,186
0,175
0,159
0,143
0,124
0,107
0,92
0,72
0,59
1,48
1,42
1,34
0,26
1,21
0,24
0,22
1,21
0,22
0,22
0,22
1,22
1,21
0,20
0,23
8,21
53,38
211,90
331,144
277,200
221,253
165,304
101,351
47,391
10,401
1,389
0,376
1,365
0,348
0,333
0,312
1,299
0,284
0,273
8,261
5,258
0,243
0,228
4,214
0,196
0,182
0,165
0,153
0,135
0,119
35,114
113,131
233,171
249,220
202,262
154,308
95,346
42,386
0,405
1,386
0,367
0,354
0,344
0,329
2,319
0,308
0,293
0,281
2,266
0,249
0,240
2,219
0,208
0,197
0,176
1,162
40,150
101,165
182,197
223,242
182,276
144,314
103,353
45,392
5,392
0,387
0,361
1,343
0,327
0,308
1,284
3,268
1,256
0,235
0,228
0,212
0,189
7,176
22,177
28,191
1,204
33,197
101,221
105,246
135,281
118,318
75,340
21,370
0,366
0,359
0,335
0,318
0,306
0,290
0,273
0,261
1,247
0,233
1,222
1,196
0,186
0,172
0,158
4,146
18,141
10,152
1,138
1,127
0,105
0,96
0,87
0,75
1,63
0,54
0,52
43,57
161,98
311,155
267,207
214,262
158,313
98,363
31,399
0,404
0,386
0,362
1,349
0,334
0,321
0,307
0,288
0,273
0,255
1,242
1,227
34,221
64,227
84,259
89,303
92,341
42,369
11,375
0,362
1,332
0,303
0,277
0,245
3,225
0,218
1,197
0,192
0,183
0,172
0,160
0,152
1,143
0,137
1,126
56,129
133,165
202,209
201,258
154,298
